period,oha,ohv,ogs,ocp,ocf
1,41977.161949459434,9127764.0,95844411.51223905,176886659.74890998,-722962.447710685
2,44076.0200469324,8671375.799999993,97408492.10756595,176499760.56856704,-771264.130743112
3,42331.187468547076,8671375.800000003,99113991.39544538,176653199.97645324,-768505.9743982109
4,40703.029325991694,8671375.799999997,100650300.57023896,176995606.68648943,-780361.9112906868
5,43172.10667344709,8671375.800000004,101847893.85555501,177354201.93762106,-806009.199312215
6,44076.02004693237,8671375.799999991,102743539.65994985,178065918.70861343,-846354.5765950765
7,39878.30385198646,8671375.79999999,103331806.64386602,179040891.12359342,-937939.9574732945
8,39878.30385198647,8671375.799999999,103718591.37618978,180247037.44929522,-925576.1291756887
9,39878.30385198647,8671375.799999999,103986800.17720547,180501824.22886756,-940695.794204315
10,39878.30385198641,8671375.79999999,104639572.40650016,180847348.27243856,-835786.8481269073
