period,oha,ohv,ogs,ocp,ocf
1,15988.730804738105,3651105.6,102287539.04165076,179403951.70525253,0.0
2,16788.16734497503,3468550.320000002,109885039.02963623,182024103.9732206,0.0
3,16788.167344975016,3468550.3200000003,117625595.40781268,185279684.3761932,0.0
4,16578.985294397276,3468550.320000001,125269086.52558556,188804211.14851743,0.0
5,15189.294264501192,3468550.32,132638637.83084339,192443082.31937036,0.0
6,15189.294264501192,3468550.3200000008,139634860.2089646,196104205.09673586,0.0
7,15336.41616617456,3468550.3199999994,146058345.15219858,199843810.91080052,0.0
8,15189.294264501199,3468550.3199999994,151558871.75023165,203103491.79218596,0.0
9,15189.294264501192,3468550.320000001,156099089.46395233,206063781.61544994,0.0
10,16788.167344975,3705557.54194107,159331555.03430995,208658212.49995568,0.0
