Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27262193.97449683,0.0
7409068.608032173,19991085.522161298,27400154.130193472,0.0
7540872.334331541,19998404.63547435,27539276.969805893,0.0
7672226.467124167,20007343.424668394,27679569.891792558,0.0
7803180.814584098,20017814.19304527,27820995.00762937,0.0
7933803.123650948,20029756.35109248,27963559.474743426,0.0
8064141.94690854,20043095.066932846,28107237.013841387,0.0
8194018.320522482,20057758.470448475,28251776.790970955,0.0
8323091.836063607,20073682.36214037,28396774.198203973,0.0
8277779.783962575,20182850.37566385,28460630.159626424,0.0
8404859.390360033,20188320.571975954,28593179.962335985,0.0
8531508.29672975,20196273.131806087,28727781.428535838,0.0
8657695.604578316,20206447.214597836,28864142.819176152,0.0
8783623.781433562,20218635.33068714,29002259.112120703,0.0
8908986.753206978,20232662.821562126,29141649.574769106,0.0
9033788.58631244,20248375.689468835,29282164.275781274,0.0
9158328.765784286,20265656.90480336,29423985.670587644,0.0
9282359.002760785,20284405.97932825,29566764.98208903,0.0
9405975.976585638,20304527.008326594,29710502.98491223,0.0
9328769.040550003,20427333.09245935,29756102.133009356,0.0
9450199.377475625,20435677.130087104,29885876.50756273,0.0
9571382.200334795,20446752.590071417,30018134.790406212,0.0
9692277.625554442,20460262.7444317,30152540.369986143,0.0
9812827.184637181,20475962.8732388,30288790.05787598,0.0
9932870.206701703,20493646.718315993,30426516.925017696,0.0
10052404.036643093,20513146.45580959,30565550.492452685,0.0
10171620.152314877,20534329.455356147,30705949.607671022,0.0
10290429.053164233,20557076.45768037,30847505.510844603,0.0
10408752.057782441,20581281.413298115,30990033.471080557,0.0
10340671.500981916,20704580.98444611,31045252.485428024,0.0
10456533.698192678,20717780.24905241,31174313.947245087,0.0
10571737.832319848,20733624.04845604,31305361.880775888,0.0
10686546.467492431,20751834.03428561,31438380.50177804,0.0
10800877.12600972,20772174.685743038,31573051.811752755,0.0
10914623.935460325,20794449.18744771,31709073.122908037,0.0
11027696.494714778,20818487.91341993,31846184.408134706,0.0
11140239.454033682,20844151.347231746,31984390.801265426,0.0
11252177.05691267,20871316.242080458,32123493.29899313,0.0
11363361.033018861,20899876.081757765,32263237.114776626,0.0
11287978.588763006,21026552.365576275,32314530.95433928,0.0
11396707.81264232,21044269.73069497,32440977.543337286,0.0
11504562.067481348,21064534.717508048,32569096.784989398,0.0
11611823.618739264,21087059.175124913,32698882.79386418,0.0
11718353.77176205,21111614.145379204,32829967.917141255,0.0
11824170.888662979,21138004.91393944,32962175.802602418,0.0
11929212.96151839,21166065.392000303,33095278.35351869,0.0
12033518.963027436,21195654.863510232,33229173.82653767,0.0
12137074.728763988,21226649.841237944,33363724.57000193,0.0
12239757.587103909,21258934.195170123,33498691.78227403,0.0
12169538.962541798,21381641.59103011,33551180.553571906,0.0
12269625.970564505,21403248.993882578,33672874.96444708,0.0
12368764.99424716,21427287.0259154,33796052.02016256,0.0
12466894.779647792,21453479.918513652,33920374.698161446,0.0
12564131.401095495,21481608.080380544,34045739.48147604,0.0
12660565.98392935,21511500.793785773,34172066.777715124,0.0
12756170.485151745,21542999.03404283,34299169.51919458,0.0
12850946.886766758,21575946.18441659,34426893.071183346,0.0
12944907.20617972,21610207.90302216,34555115.10920188,0.0
13037961.18176834,21645666.74835263,34683627.93012097,0.0
12965955.433238246,21768491.72699161,34734447.160229854,0.0
13056831.4845813,21793447.993048638,34850279.47762994,0.0
13146717.756133307,21820705.287233032,34967423.043366335,0.0
13235641.074215973,21849983.432225823,35085624.506441794,0.0
13323641.699534146,21881059.48691471,35204701.18644886,0.0
13410734.457039738,21913761.56188091,35324496.018920645,0.0
13496998.306568913,21947924.730723564,35444923.03729248,0.0
13582153.023425868,21983414.60209851,35565567.62552438,0.0
13666397.288980829,22020105.926236797,35686503.21521763,0.0
13749598.616319368,22057873.635109287,35807472.25142866,0.0
13653129.684585664,22190987.311242394,35844116.995828055,0.0
13733525.907663587,22217571.80030041,35951097.707963996,0.0
13812920.747831985,22246312.36508998,36059233.11292196,0.0
13891068.580994438,22276922.931122553,36167991.51211699,0.0
13968074.024906604,22309176.124321043,36277250.14922765,0.0
14044192.034292739,22342892.431815594,36387084.46610834,0.0
14119408.497553237,22377924.10936088,36497332.60691412,0.0
14193640.934642736,22414141.01807753,36607781.95272026,0.0
14266916.309557337,22451434.343992513,36718350.65354985,0.0
14339041.40758428,22489690.958325934,36828732.36591022,0.0
14174638.841910042,22643004.80040734,36817643.64231738,0.0
14245086.049455304,22667113.37462029,36912199.424075596,0.0
14314498.730226416,22693693.476447567,37008192.20667399,0.0
14382996.38287339,22722398.912950993,37105395.295824386,0.0
14450343.42751623,22752957.471718773,37203300.899235,0.0
14516791.604754437,22785149.87745987,37301941.48221431,0.0
14582427.838778399,22818797.427494578,37401225.26627298,0.0
14647138.908445902,22853743.511000287,37500882.41944619,0.0
14710942.60038435,22889851.507751834,37600794.108136185,0.0
14773783.77880605,22927008.669531353,37700792.4483374,0.0
14608283.996798782,23075242.023401875,37683526.020200655,0.0
14669545.800227672,23099363.633564964,37768909.433792636,0.0
14729935.867179515,23125855.770464126,37855791.63764364,0.0
14789344.36324663,23154379.61167669,37943723.97492332,0.0
14847814.76486107,23184674.017555773,38032488.78241684,0.0
14905377.231820866,23216524.400165275,38121901.63198614,0.0
14962166.751686826,23249760.363464847,38211927.11515167,0.0
15017948.561698178,23284223.539131816,38302172.100829996,0.0
15072961.192653446,23319798.694140244,38392759.88679369,0.0
15127051.77182385,23356381.248678163,38483433.020502016,0.0
14950896.733432235,23509012.608734537,38459909.342166774,0.0
