Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-477379.73776828253,0.0,22801.82839215686,-0.0,-0.0
1606482.2789892564,-2112336.1832102737,-483052.07582886075,0.0,22801.82839215686,-0.0,-0.0
1617333.0696080052,-2127450.148186882,-487315.2501867199,0.0,22801.82839215686,-0.0,-0.0
1628126.27130303,-2142533.651920808,-491605.55222562136,0.0,22801.82839215686,-0.0,-0.0
1638847.0779621457,-2157405.8360304483,-495756.92967614584,0.0,22801.82839215686,-0.0,-0.0
1649487.7128556406,-2172224.09227385,-499934.55102605256,0.0,22801.82839215686,-0.0,-0.0
1660035.8722198664,-2186853.5155790495,-504015.8149670261,0.0,22801.82839215686,-0.0,-0.0
1670481.2589194207,-2200460.441727845,-507177.3544162675,0.0,22801.82839215686,-0.0,-0.0
1680816.6558127305,-2212473.815667133,-508855.33146224567,0.0,22801.82839215686,-0.0,-0.0
1732717.3893473204,-2174903.8438703096,-419384.62613083207,0.0,22801.82839215686,-0.0,-0.0
1733388.8181235113,-2188616.3608975336,-431285.6229622578,0.0,23941.919811764714,-0.0,-0.0
1735486.857549908,-2201706.8658132777,-442278.08845160453,0.0,23941.919811764714,-0.0,-0.0
1738693.6436489804,-2214290.0019001206,-451654.43843937555,0.0,23941.919811764714,-0.0,-0.0
1742770.5007479899,-2227280.713731858,-460568.29317210347,0.0,23941.919811764714,-0.0,-0.0
1747532.334983404,-2238848.5363802114,-467374.2815850424,0.0,23941.919811764714,-0.0,-0.0
1752833.2661272378,-2250128.2153862263,-473353.0294472237,0.0,23941.919811764714,-0.0,-0.0
1758563.2336729516,-2262302.497825243,-479797.3443405264,0.0,23941.919811764714,-0.0,-0.0
1764636.1426907647,-2273332.7417566245,-484754.6792540949,0.0,23941.919811764714,-0.0,-0.0
1770979.4909490782,-2284476.0581657635,-489554.64740492037,0.0,23941.919811764714,-0.0,-0.0
1817934.5401929684,-2244169.1515412824,-402292.6915365492,0.0,23941.919811764714,-0.0,-0.0
1815451.1136648196,-2255225.0273829703,-415831.99390638596,0.0,23941.919811764703,-0.0,-0.0
1814618.3316404107,-2266994.790581273,-428434.5391290975,0.0,23941.919811764703,-0.0,-0.0
1815100.7248606002,-2278322.7097634226,-439280.0650910579,0.0,23941.919811764703,-0.0,-0.0
1816640.5039067615,-2289193.4755932554,-448611.0518747292,0.0,23941.919811764703,-0.0,-0.0
1819035.6074583612,-2299304.339513587,-456326.812243461,0.0,23941.919811764703,-0.0,-0.0
1822130.3045212617,-2309217.944157549,-463145.7198245226,0.0,23941.919811764703,-0.0,-0.0
1825803.7707258381,-2319731.383799488,-469985.69326188555,0.0,23941.919811764703,-0.0,-0.0
1829958.670812817,-2329772.367011054,-475871.77638647216,0.0,23941.919811764703,-0.0,-0.0
1834513.2990791823,-2339364.6235945406,-480909.4047035938,0.0,23941.919811764703,-0.0,-0.0
1879506.3247323541,-2296052.403007016,-392604.15846289706,0.0,23941.919811764703,-0.0,-0.0
1875352.2058470298,-2305430.876171977,-406136.750513182,0.0,23941.91981176471,-0.0,-0.0
1872943.8813520484,-2314460.0606364454,-417574.2594726322,0.0,23941.91981176471,-0.0,-0.0
1871954.0854689511,-2324333.8981703487,-428437.89288963313,0.0,23941.91981176471,-0.0,-0.0
1872128.8416989802,-2333807.292538385,-437736.53102764004,0.0,23941.91981176471,-0.0,-0.0
1873267.2016937197,-2342818.654273811,-445609.53276832623,0.0,23941.91981176471,-0.0,-0.0
1875206.4311517277,-2351325.7310206494,-452177.3800571568,0.0,23941.91981176471,-0.0,-0.0
1877804.4641615043,-2360269.468171796,-458523.0841985268,0.0,23941.91981176471,-0.0,-0.0
1880945.528505902,-2368714.7214567424,-463827.2731390754,0.0,23941.91981176471,-0.0,-0.0
1884543.544772774,-2376449.0143622207,-467963.5497776818,0.0,23941.91981176471,-0.0,-0.0
1928309.1624226065,-2336025.557311408,-383774.47507703694,0.0,23941.91981176471,-0.0,-0.0
1923408.295959301,-2344911.3490441134,-397561.13327304786,0.0,23941.919811764703,-0.0,-0.0
1920327.3484573525,-2352802.200641708,-408532.93237259076,0.0,23941.919811764703,-0.0,-0.0
1918712.931240132,-2361266.1114151576,-418611.26036326063,0.0,23941.919811764703,-0.0,-0.0
1918294.1531543294,-2368836.553372452,-426600.4804063579,0.0,23941.919811764703,-0.0,-0.0
1918856.5826821586,-2376638.636436912,-433840.13394298893,0.0,23941.919811764703,-0.0,-0.0
1920234.0948674458,-2384123.0242024227,-439947.0095232123,0.0,23941.919811764703,-0.0,-0.0
1922288.2532863768,-2391653.587561178,-445423.41446303646,0.0,23941.919811764703,-0.0,-0.0
1924905.7066296176,-2398969.6809265586,-450122.0544851762,0.0,23941.919811764703,-0.0,-0.0
1927998.2636577259,-2405627.930736605,-453687.7472671146,0.0,23941.919811764703,-0.0,-0.0
1970364.3489000325,-2361289.090118849,-366982.8214070519,0.0,23941.919811764703,-0.0,-0.0
1964917.6086581803,-2368587.5889741257,-379728.0605041805,0.0,23941.91981176471,-0.0,-0.0
1961268.545409438,-2375148.7281301348,-389938.26290893217,0.0,23941.91981176471,-0.0,-0.0
1959089.1729467649,-2381332.9183943355,-398301.8256358061,0.0,23941.91981176471,-0.0,-0.0
1958124.618985018,-2387798.889398251,-405732.3506014683,0.0,23941.91981176471,-0.0,-0.0
1958177.2634569646,-2394722.1108664875,-412602.92759775824,0.0,23941.91981176471,-0.0,-0.0
1959087.0113294164,-2401394.6326144347,-418365.70147325355,0.0,23941.91981176471,-0.0,-0.0
1960714.5119292445,-2407915.6287912293,-423259.1970502202,0.0,23941.91981176471,-0.0,-0.0
1962943.7751472031,-2414369.5553644584,-427483.86040549056,0.0,23941.91981176471,-0.0,-0.0
1965680.2269788887,-2420464.31011993,-430842.163329277,0.0,23941.91981176471,-0.0,-0.0
2008342.8005491663,-2376201.2933133855,-343916.57295245427,0.0,23941.91981176471,-0.0,-0.0
2002444.2287025566,-2382523.135842987,-356136.98732866556,0.0,23941.91981176471,-0.0,-0.0
1998370.5422951109,-2388005.991804402,-365693.5296975263,0.0,23941.91981176471,-0.0,-0.0
1995781.623697853,-2393628.7825253606,-373905.23901574296,0.0,23941.91981176471,-0.0,-0.0
1994418.600309311,-2399176.0568331494,-380815.5367120739,0.0,23941.91981176471,-0.0,-0.0
1994079.121914318,-2405034.950189995,-387013.9084639124,0.0,23941.91981176471,-0.0,-0.0
1994601.195437716,-2411029.9151457176,-392486.7998962368,0.0,23941.91981176471,-0.0,-0.0
1995848.8352479474,-2416072.085603696,-396281.3305439836,0.0,23941.91981176471,-0.0,-0.0
1997709.4689652447,-2421591.6097173747,-399940.22094036534,0.0,23941.91981176471,-0.0,-0.0
2000084.6657719393,-2426358.4184501944,-402331.8328664903,0.0,23941.91981176471,-0.0,-0.0
2046050.8913783845,-2382179.868279003,-312187.0570888537,0.0,23941.91981176471,-0.0,-0.0
2039530.221796988,-2386444.645455185,-322972.50384643243,0.0,23941.919811764703,-0.0,-0.0
2034853.3158761526,-2391553.747870754,-332758.51218283665,0.0,23941.919811764703,-0.0,-0.0
2031661.9985692843,-2394920.2618276654,-339316.34344661643,0.0,23941.919811764703,-0.0,-0.0
2029683.1666976926,-2398546.175208144,-344921.0886986868,0.0,23941.919811764703,-0.0,-0.0
2028712.9450932564,-2403411.5571081596,-350756.6922031386,0.0,23941.919811764703,-0.0,-0.0
2028589.9836132126,-2408153.7342995205,-355621.8308745434,0.0,23941.919811764703,-0.0,-0.0
2029183.2935917103,-2412630.6689829594,-359505.45557948435,0.0,23941.919811764703,-0.0,-0.0
2030385.9043295078,-2417015.8623711136,-362688.0382298408,0.0,23941.919811764703,-0.0,-0.0
2032102.749772281,-2420487.8806575667,-364443.21107352094,0.0,23941.919811764703,-0.0,-0.0
2079894.7023601243,-2375760.956602773,-271924.33443088434,0.0,23941.919811764703,-0.0,-0.0
2072298.5111301478,-2381525.4058043086,-285284.97486239596,0.0,23941.91981176471,-0.0,-0.0
2066692.2462570183,-2386219.573339668,-295585.4072708849,0.0,23941.91981176471,-0.0,-0.0
2062684.038979267,-2390994.513436164,-304368.5546451319,0.0,23941.91981176471,-0.0,-0.0
2059979.5594560422,-2394410.02255012,-310488.5432823129,0.0,23941.91981176471,-0.0,-0.0
2058350.5264175413,-2398569.7094302503,-316277.2632009442,0.0,23941.91981176471,-0.0,-0.0
2057618.6230539337,-2403206.6192322066,-321646.07636650815,0.0,23941.91981176471,-0.0,-0.0
2057635.703907222,-2406601.3500903863,-325023.72637139977,0.0,23941.91981176471,-0.0,-0.0
2058281.5681778798,-2410230.4031834705,-328006.91519382584,0.0,23941.91981176471,-0.0,-0.0
2059463.1108510268,-2413667.9301584912,-330262.89949569985,0.0,23941.91981176471,-0.0,-0.0
2110522.226032057,-2368711.3761191983,-234247.23027537658,0.0,23941.91981176471,-0.0,-0.0
2102065.377348024,-2373389.5939691933,-247382.2968094047,0.0,23941.919811764703,-0.0,-0.0
2095616.3299850605,-2377896.5258243126,-258338.27602748756,0.0,23941.919811764703,-0.0,-0.0
2090798.7700808097,-2381901.255011151,-267160.56511857663,0.0,23941.919811764703,-0.0,-0.0
2087324.1308915114,-2385698.9027543864,-274432.8520511105,0.0,23941.919811764703,-0.0,-0.0
2084964.3453639308,-2389857.822576593,-280951.5574008975,0.0,23941.919811764703,-0.0,-0.0
2083540.0758866132,-2394065.0020114915,-286583.0063131137,0.0,23941.919811764703,-0.0,-0.0
2082903.5924357674,-2397330.504402289,-290484.99215475726,0.0,23941.919811764703,-0.0,-0.0
2082936.6505499233,-2400989.886276008,-294111.31591431994,0.0,23941.919811764703,-0.0,-0.0
2083541.2509086153,-2404584.3152496195,-297101.1445292395,0.0,23941.919811764703,-0.0,-0.0
2132895.9688153,-2360272.4369469346,-203434.54831986953,0.0,23941.919811764703,-0.0,-0.0
