Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-490725.05579975975,11757.733085789287,0.0,-2209.235496774193,-91.98722833548385
1606482.2789892564,-2112336.1832102737,-495369.07379863865,12786.053147488621,0.0,-2209.235496774193,-91.98722833548385
1617333.0696080052,-2127450.148186882,-498911.14009162004,13507.161212366369,0.0,-2209.235496774193,-91.98722833548385
1628126.27130303,-2142533.651920808,-502682.0484008077,14026.554942080153,0.0,-2209.235496774193,-91.98722833548385
1638847.0779621457,-2157405.8360304483,-506446.79221111565,14413.188582296738,0.0,-2209.235496774193,-91.98722833548385
1649487.7128556406,-2172224.09227385,-510325.46457971714,14712.137563601924,0.0,-2209.235496774193,-91.98722833548385
1660035.8722198664,-2186853.5155790495,-514165.99219052435,14952.873893768272,0.0,-2209.235496774193,-91.98722833548385
1670481.2589194207,-2200460.441727845,-517125.73200850555,15154.673525028451,0.0,-2209.235496774193,-91.98722833548385
1680816.6558127305,-2212473.815667133,-518628.2329015855,15330.149677926684,0.0,-2209.235496774193,-91.98722833548385
1710241.7213113736,-2202220.777783008,-478792.7175811826,15487.56161556141,0.0,-2209.235496774193,-91.98722833548385
1715483.7672138289,-2216968.4738246663,-488820.1610982905,14850.707101400849,0.0,-2098.773721935483,-87.38786691870965
1721551.6400811658,-2230986.0705689853,-496641.00253130926,14979.589545364299,0.0,-2098.773721935483,-87.38786691870965
1728225.7458316651,-2244307.6625738223,-503166.0254576131,15102.052873397988,0.0,-2098.773721935483,-87.38786691870965
1735349.4130111616,-2257866.4583904613,-509483.64266051806,15219.564307635743,0.0,-2098.773721935483,-87.38786691870965
1742802.5768636127,-2269893.776196272,-513944.263350576,15333.097570937645,0.0,-2098.773721935483,-87.38786691870965
1750491.5112939011,-2281534.1478022053,-517785.4944735394,15443.303623618918,0.0,-2098.773721935483,-87.38786691870965
1758348.945696383,-2293947.927865212,-522234.52152446186,15550.622233221231,0.0,-2098.773721935483,-87.38786691870965
1766323.6816598051,-2305169.7483158573,-525376.8733619916,15655.354882914837,0.0,-2098.773721935483,-87.38786691870965
1774372.831113022,-2316432.2994370186,-528487.9174954236,15757.712417426863,0.0,-2098.773721935483,-87.38786691870965
1801348.6726222862,-2303434.449043429,-488414.09182830696,15857.84618169,0.0,-2098.773721935483,-87.38786691870965
1804781.381068689,-2315475.6997867585,-496924.6119338345,15955.868373089115,0.0,-2098.773721935483,-87.38786691870965
1809112.2917313315,-2327981.1410419513,-505003.1455539939,16051.865345480259,0.0,-2098.773721935483,-87.38786691870965
1814127.7479977098,-2339899.584372888,-511812.0916564261,16145.906307606154,0.0,-2098.773721935483,-87.38786691870965
1819667.4254403186,-2351194.79218951,-517475.47932606,16238.049011985462,0.0,-2098.773721935483,-87.38786691870965
1825605.3365257152,-2361539.6991663883,-521792.18075233034,16328.343477196768,0.0,-2098.773721935483,-87.38786691870965
1831846.7699413577,-2371546.7574871616,-525469.3147096265,16416.83442503146,0.0,-2098.773721935483,-87.38786691870965
1838322.9400855608,-2381979.0853575966,-529338.7439830791,16503.562877810717,0.0,-2098.773721935483,-87.38786691870965
1844978.8641649238,-2391765.751609365,-532384.4818264593,16588.56720683612,0.0,-2098.773721935483,-87.38786691870965
1851771.6621847455,-2401237.599486803,-534980.215068809,16671.883822102944,0.0,-2098.773721935483,-87.38786691870965
1877846.4850912637,-2386793.6777927727,-494379.80666284997,16753.547627513446,0.0,-2098.773721935483,-87.38786691870965
1880171.1136858019,-2396919.597829502,-502101.0534097826,16833.59232277172,0.0,-2098.773721935483,-87.38786691870965
1883408.5588530712,-2406281.8296296345,-508147.38176040933,16912.050605008222,0.0,-2098.773721935483,-87.38786691870965
1887353.3883043055,-2416225.6108007743,-514069.42978052434,16988.954304798746,0.0,-2098.773721935483,-87.38786691870965
1891852.15311297,-2425426.3155318485,-518695.98952850216,17064.334479230285,0.0,-2098.773721935483,-87.38786691870965
1896785.4350212358,-2433923.4023662047,-522185.90745700547,17138.221476817358,0.0,-2098.773721935483,-87.38786691870965
1902059.1682267124,-2441860.887791846,-524777.2361700445,17210.64498394337,0.0,-2098.773721935483,-87.38786691870965
1907602.0518974029,-2450104.7024394474,-527407.1780717482,17281.63405915023,0.0,-2098.773721935483,-87.38786691870965
1913357.0856367513,-2457776.3653578544,-529254.2241505479,17351.217159409654,0.0,-2098.773721935483,-87.38786691870965
1919278.815657806,-2464521.299937278,-530009.223707248,17419.422161078488,0.0,-2098.773721935483,-87.38786691870965
1945577.553400867,-2452181.299960957,-491303.6317716386,17486.276377305432,0.0,-2098.773721935483,-87.38786691870965
1947112.3389380972,-2459580.849318691,-497102.86539640254,17551.806573045422,0.0,-2098.773721935483,-87.38786691870965
1949577.3046204937,-2466250.5094196093,-501243.32740953093,17616.038978438733,0.0,-2098.773721935483,-87.38786691870965
1952755.925232053,-2473282.588769311,-505033.8258250613,17678.99930105088,0.0,-2098.773721935483,-87.38786691870965
1956484.9459406224,-2479602.8257890963,-507563.3287000295,17740.712737298792,0.0,-2098.773721935483,-87.38786691870965
1960645.7310453905,-2485975.601690715,-509714.82825090154,17801.203983277537,0.0,-2098.773721935483,-87.38786691870965
1965148.92597672,-2491992.066822156,-511168.80518916156,17860.49724512861,0.0,-2098.773721935483,-87.38786691870965
1969932.270186338,-2497713.1129831923,-512048.3881366649,17918.6162490436,0.0,-2098.773721935483,-87.38786691870965
1974936.6975878347,-2503069.1017895294,-512342.9815395832,17975.584250965516,0.0,-2098.773721935483,-87.38786691870965
1980109.6870200352,-2507571.6091163056,-511616.6596390944,18031.42404603004,0.0,-2098.773721935483,-87.38786691870965
