Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27262193.97449683,0.0
7409068.608032173,19991085.522161298,27400154.130193472,0.0
7540872.334331541,19998404.63547435,27539276.969805893,0.0
7672226.467124167,20007343.424668394,27679569.891792558,0.0
7803180.814584098,20017814.19304527,27820995.00762937,0.0
7933803.123650948,20029756.35109248,27963559.474743426,0.0
8064141.94690854,20043095.066932846,28107237.013841387,0.0
8194018.320522482,20057758.470448475,28251776.790970955,0.0
8323091.836063607,20073682.36214037,28396774.198203973,0.0
8170462.6594238635,20230563.29712028,28401025.956544146,0.0
8298999.908272773,20229645.90656281,28528645.814835582,0.0
8427167.97654762,20231992.804704465,28659160.781252086,0.0
8554913.431829264,20237218.71449969,28792132.146328952,0.0
8682418.99881731,20245017.7875835,28927436.78640081,0.0
8809371.869855622,20255132.499312367,29064504.36916799,0.0
8935771.716397239,20267343.575429376,29203115.291826613,0.0
9061922.562943706,20281478.600756496,29343401.1637002,0.0
9187572.97353074,20297393.618743524,29484966.592274264,0.0
9312806.684341565,20314955.51988542,29627762.204226986,0.0
9150475.921075167,20476866.230811216,29627342.15188638,0.0
9273675.34017484,20477573.29060777,29751248.630782608,0.0
9396685.65485037,20481819.956010472,29878505.610860843,0.0
9519432.47510142,20489199.74100399,30008632.216105413,0.0
9641852.138040975,20499377.506630626,30141229.6446716,0.0
9763781.455715569,20512061.883717466,30275843.339433033,0.0
9885199.09745204,20527014.87491614,30412213.97236818,0.0
10006302.10523484,20544047.223197855,30550349.328432698,0.0
10126993.788051574,20562993.89922552,30689987.687277097,0.0
10247207.988154616,20583713.995379414,30830921.983534027,0.0
10071106.01556253,20754338.00798296,30825444.023545492,0.0
10187945.545825468,20758133.740618013,30946079.286443483,0.0
10304167.567343006,20765476.676963646,31069644.24430665,0.0
10420024.660920056,20775956.603355825,31195981.26427588,0.0
10535428.495934125,20789238.79567664,31324667.291610766,0.0
10650259.238879347,20805043.557506133,31455302.79638548,0.0
10764420.160741884,20823133.436043207,31587553.59678509,0.0
10878069.611935858,20843310.30509178,31721379.917027637,0.0
10991131.273394689,20865402.030420195,31856533.303814884,0.0
11103408.246182198,20889255.88531741,31992664.131499607,0.0
10921151.556019662,21059197.514643975,31980349.07066364,0.0
11030663.737000301,21066141.14392704,32096804.880927343,0.0
11139398.539513735,21076716.050117936,32216114.58963167,0.0
11247636.015536403,21090471.882742353,32338107.898278754,0.0
11355160.90700196,21107051.149477076,32462212.056479033,0.0
11462041.277798384,21126152.236125022,32588193.513923407,0.0
11568249.548005763,21147523.83811189,32715773.386117652,0.0
11673732.774496747,21170965.147548504,32844697.92204525,0.0
11778484.597946892,21196288.538413934,32974773.136360828,0.0
11882403.60261278,21223324.05333852,33105727.655951302,0.0
11701145.717180198,21393098.268943515,33094243.98612371,0.0
11801514.22027435,21404348.201987132,33205862.422261484,0.0
11901033.831594162,21418903.632011913,33319937.463606074,0.0
11999663.826179173,21436358.801342953,33436022.627522126,0.0
12097427.877187291,21456386.953905955,33553814.831093248,0.0
12194464.730300197,21478723.23120722,33673187.96150742,0.0
12290765.91118808,21503141.801244143,33793907.71243222,0.0
12386318.104689192,21529452.00818536,33915770.11287455,0.0
12481153.527643908,21557487.713719983,34038641.24136389,0.0
12575145.47589872,21587101.45650003,34162246.93239875,0.0
12385448.00343094,21758293.140973724,34143741.144404665,0.0
12476685.16299892,21771924.082573537,34248609.245572455,0.0
12567053.564121237,21788772.379763655,34355825.943884894,0.0
12656527.220557073,21808428.75666277,34464955.97721984,0.0
12745097.006701997,21830565.65492069,34575662.66162268,0.0
12832855.839174932,21854922.344545215,34687778.18372015,0.0
12919909.951008849,21881267.780485943,34801177.73149479,0.0
13005975.623753978,21909406.607938215,34915382.231692195,0.0
13091303.420607679,21939169.51651113,35030472.93711881,0.0
13175632.651069,21970404.516923696,35146037.167992696,0.0
12976997.409953238,22143106.017707177,35120103.42766041,0.0
13058568.91629021,22158106.314575028,35216675.23086524,0.0
13139306.474164955,22176213.629493177,35315520.10365813,0.0
13218904.638391232,22197015.72865459,35415920.36704583,0.0
13297282.378758779,22220178.270950817,35517460.6497096,0.0
13374911.841411654,22245450.81731801,35620362.658729665,0.0
13451776.035627725,22272609.100341063,35724385.13596879,0.0
13527761.453729494,22301459.22582478,35829220.679554276,0.0
13602918.06509239,22331842.019880448,35934760.084972836,0.0
13677034.303534327,22363607.29795947,36040641.6014938,0.0
13461457.305825358,22537112.13041266,35998569.43623802,0.0
13534173.002627777,22552246.898600664,36086419.90122844,0.0
13605992.728637291,22570499.99848243,36176492.72711972,0.0
13676886.411036849,22591464.378669612,36268350.78970646,0.0
13746840.052705254,22614803.004449297,36361643.05715455,0.0
13816095.383285394,22640247.246396843,36456342.629682235,0.0
13884658.098678375,22667561.21415095,36552219.31282932,0.0
13952289.153681487,22696539.86200417,36648829.015685655,0.0
14018994.899459736,22727014.08398423,36746008.98344397,0.0
14084560.726616818,22758823.317938484,36843384.0445553,0.0
13843430.842389937,22943175.063807305,36786605.90619724,0.0
13907167.184085937,22957607.862455573,36864775.04654151,0.0
13970191.787732385,22975061.491213765,36945253.27894615,0.0
14032217.75007088,22995149.048924472,37027366.79899535,0.0
14093336.693438139,23017541.307964914,37110878.001403056,0.0
14153756.071957681,23041967.259996206,37195723.33195389,0.0
14213495.591528995,23068213.126815118,37281708.718344115,0.0
14272345.784842255,23096079.839429844,37368425.6242721,0.0
14330308.424625378,23125402.66095241,37455711.085577786,0.0
14387225.753469683,23156032.14268249,37543257.896152176,0.0
14162418.471512167,23326387.28843351,37488805.759945676,0.0
