Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52885975.25027822,12337.890000000009
14439629.099533154,38540260.76420462,53003612.70952911,23722.84579132919
14640881.53763132,38455602.19189735,53130936.92132492,34453.19179625096
14842543.100859858,38380344.8255564,53267612.419982165,44724.49356591177
15044923.758035498,38313739.19520053,53413328.1120012,54665.15876517694
15247816.019716727,38255135.46724563,53567311.18700676,64359.7000444032
15450688.018913468,38204014.89855883,53728566.85332968,73863.93585737656
15653960.276384931,38159944.61240689,53897119.81210736,83214.92331554269
15857272.128023852,38122544.762834236,54072254.33966899,92437.44881090513
15743001.41408677,38243013.9282304,54087563.61170661,101548.26938943604
15948144.581456214,38196434.14356218,54249609.66519929,105030.94018088805
16153532.111316685,38158151.95104569,54425187.54181123,113503.4794488448
16358335.392371988,38127446.27816807,54607675.645044886,121893.97450483197
16562677.797518011,38103724.15446996,54796608.46362888,130206.51164091396
16767157.961214451,38086486.53801096,54992088.74236774,138444.24314231865
16972180.72897465,38075310.88309046,55194101.31350517,146609.70144006982
17176130.188482214,38069800.09090559,55400635.283963546,154705.00457573336
17378413.213452455,38069528.32235324,55610673.52644858,162731.990642883
17581094.68676279,38074156.24263057,55825943.23520977,170692.30581640787
17476604.676713392,38227990.66753868,55883182.80630337,178587.46205129116
17680181.74550295,38220927.107507564,56087527.72796961,186418.87495909398
17883709.67183633,38220481.74694961,56298379.30751451,194187.88872856917
18086484.699118465,38226020.08877033,56514400.58046597,201895.79257718092
18288607.684899017,38237028.7889212,56735180.30548559,209543.83166537064
18490211.989137318,38253134.19384986,56960479.39737657,217133.21438938027
18691546.843677543,38273892.56886995,57190104.529852025,224665.1173045373
18892141.38611365,38298977.36818331,57423259.44279405,232140.688497093
19092071.02240846,38328089.63750826,57659721.70985595,239561.04993923748
19291514.33881073,38360954.10898537,57899395.74697279,246927.29917669043
19181940.23268554,38550080.93770769,57986261.68097046,254240.51057723313
19379010.24391385,38568418.5853775,58208930.56558081,261501.73628945937
19575867.47315312,38592115.14624672,58436694.62640919,268712.00700934656
19772198.76547126,38620520.28513721,58668591.383226946,275872.33261847525
19959867.17282379,38653080.59265798,58895931.46821744,282983.70273566246
20146762.608678967,38689430.5595249,59126240.25541321,290047.08720935025
20333050.17012753,38729365.548558295,59359479.15525449,297063.43656867015
20518461.60297617,38772620.23371147,59595115.519132584,304033.68244494393
20705695.694610108,38818981.11972833,59835635.55230979,310958.73797135556
20892527.610038187,38868302.108902544,60078669.217106625,317839.49816590035
20768473.358771447,39071708.252204254,60164858.4512767,324676.8403009932
