Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-326966.1490114258,21955.291090532497,0.0,-4125.319741935485,-171.7683468387097
3229576.246178158,-3619168.7588631874,-370014.120976476,23875.47979732756,0.0,-4125.319741935485,-171.7683468387097
3218747.764490371,-3646258.6057236553,-406585.9197679655,25222.00955409306,0.0,-4125.319741935485,-171.7683468387097
3211482.199131155,-3674964.254385618,-441587.2665159841,26191.876827253564,0.0,-4125.319741935485,-171.7683468387097
3206944.278738542,-3704786.043744383,-475225.01276858075,26913.84032603437,0.0,-4125.319741935485,-171.7683468387097
3204543.8408506536,-3733601.7978472067,-505882.97539161786,27472.06969370954,0.0,-4125.319741935485,-171.7683468387097
3203863.3476038114,-3760285.259473598,-532797.4017574168,27921.59820114409,0.0,-4125.319741935485,-171.7683468387097
3204609.2748431168,-3788349.8363480223,-559739.229634978,28298.419958701616,0.0,-4125.319741935485,-171.7683468387097
3206571.424589799,-3814915.432166111,-584015.0079503459,28626.087714740734,0.0,-4125.319741935485,-171.7683468387097
3245893.5134514896,-3803238.9829625837,-532722.533555167,28920.0240447015,0.0,-4125.319741935485,-171.7683468387097
3241689.499788349,-3831377.737177321,-566039.6495848045,27730.821488503476,0.0,-3919.053754838712,-163.17992949677426
3239707.7105687032,-3858370.1931975074,-594773.2318028591,27971.484510280752,0.0,-3919.053754838712,-163.17992949677426
3239599.959167835,-3882085.758392311,-618367.871833476,28200.16107533603,0.0,-3919.053754838712,-163.17992949677426
3241095.9249148513,-3906038.119670968,-640604.8375033962,28419.590937056066,0.0,-3919.053754838712,-163.17992949677426
3243989.4238480646,-3932006.292599659,-663467.5101014902,28631.59233443972,0.0,-3919.053754838712,-163.17992949677426
3248123.14726343,-3959378.3752179453,-686500.0808289541,28837.3808098968,0.0,-3919.053754838712,-163.17992949677426
3253358.375188035,-3980589.9400219624,-702276.0209740585,29037.77754420418,0.0,-3919.053754838712,-163.17992949677426
3259548.963381763,-3999197.391496336,-714497.3163000715,29233.34549883696,0.0,-3919.053754838712,-163.17992949677426
3266574.8423577305,-4025042.0023810663,-733124.9153221527,29424.478385518734,0.0,-3919.053754838712,-163.17992949677426
3309086.208028639,-4004924.784057039,-670309.3509011132,29611.458811621877,0.0,-3919.053754838712,-163.17992949677426
3308896.037862635,-4029910.8593083345,-695302.5588459857,29794.49628404934,0.0,-3919.053754838712,-163.17992949677426
3310793.2844225345,-4054122.605068065,-717437.8022779506,29973.7520519154,0.0,-3919.053754838712,-163.17992949677426
3314444.6942231185,-4076040.321479042,-735528.5055911058,30149.355349153302,0.0,-3919.053754838712,-163.17992949677426
3319586.538580079,-4097854.3648898723,-752028.6459767133,30321.414017414936,0.0,-3919.053754838712,-163.17992949677426
3326014.320580251,-4120325.504212765,-767903.3958601335,30490.021456715807,0.0,-3919.053754838712,-163.17992949677426
3333550.665625947,-4143449.0214274754,-783325.3283095171,30655.261176346452,0.0,-3919.053754838712,-163.17992949677426
3342056.4426278807,-4164765.4061427754,-795973.9874216772,30817.209777552718,0.0,-3919.053754838712,-163.17992949677426
3351411.715790865,-4186126.8665286642,-807821.4455108206,30975.93891131437,0.0,-3919.053754838712,-163.17992949677426
3361484.535388376,-4207901.046392343,-819367.2281220505,31131.51656625127,0.0,-3919.053754838712,-163.17992949677426
3403580.3492387654,-4180559.795922034,-749777.6724489579,31284.007918645984,0.0,-3919.053754838712,-163.17992949677426
3406028.5376785714,-4200343.459751732,-766963.6798613219,31433.475896174088,0.0,-3919.053754838712,-163.17992949677426
3410489.428384294,-4223878.668866371,-785891.4926120137,31579.98155439893,0.0,-3919.053754838712,-163.17992949677426
3416553.7037807927,-4245797.308992741,-801602.2545655234,31723.584330760696,0.0,-3919.053754838712,-163.17992949677426
3423887.7362759346,-4236692.153662396,-785022.3088524373,31864.34221835893,0.0,-3919.053754838712,-163.17992949677426
3432272.030764496,-4256096.577929187,-795904.4689618549,32002.311887171225,0.0,-3919.053754838712,-163.17992949677426
3441565.9208005676,-4276409.861339753,-806788.625452747,32137.54877077344,0.0,-3919.053754838712,-163.17992949677426
3451654.219706782,-4295756.212935818,-815914.119783003,32270.10713036897,0.0,-3919.053754838712,-163.17992949677426
3462455.6147273933,-4325022.078648486,-834248.6575015828,32400.040103845276,0.0,-3919.053754838712,-163.17992949677426
3473863.402802078,-4346069.706980497,-843761.13811785,32527.399744903923,0.0,-3919.053754838712,-163.17992949677426
3519647.196669384,-4317632.71344158,-769415.5134009673,32652.237055564256,0.0,-3919.053754838712,-163.17992949677426
3523189.5539175277,-4339022.392673831,-787140.4704264395,32774.60201419986,0.0,-3919.053754838712,-163.17992949677426
3528565.9798037685,-4360103.334564223,-802725.0448442687,32894.54360052144,0.0,-3919.053754838712,-163.17992949677426
3535435.8328694957,-4374221.982005795,-809856.2730022031,33012.10981843245,0.0,-3919.053754838712,-163.17992949677426
3543542.7730573034,-4393571.614862387,-820983.7277720543,33127.34771736533,0.0,-3919.053754838712,-163.17992949677426
3552713.9901609737,-4413205.881386473,-831333.8214973363,33240.30341249822,0.0,-3919.053754838712,-163.17992949677426
3562794.7158994274,-4437567.366445662,-845503.8621264551,33351.02210411582,0.0,-3919.053754838712,-163.17992949677426
3573662.302495763,-4453429.757983104,-850390.1410753868,33459.548096289225,0.0,-3919.053754838712,-163.17992949677426
3585229.7824539845,-4487014.265341395,-872300.7917567545,33565.924814991355,0.0,-3919.053754838712,-163.17992949677426
3597385.4247548794,-4506794.786389373,-879821.4004931023,33670.19482572658,0.0,-3919.053754838712,-163.17992949677426
3640515.3967363383,-4472600.370237041,-802394.8073343106,33772.39985072816,0.0,-3919.053754838712,-163.17992949677426
3644767.7351645054,-4494187.664362086,-819629.582096155,33872.580785760794,0.0,-3919.053754838712,-163.17992949677426
3650914.1669478533,-4515694.933673363,-834892.2226932901,33970.777716555094,0.0,-3919.053754838712,-163.17992949677426
3658612.084691811,-4534807.597245018,-846210.7163026491,34067.02993489328,0.0,-3919.053754838712,-163.17992949677426
3667594.144828395,-4553771.121626453,-856097.8345280314,34161.37595436124,0.0,-3919.053754838712,-163.17992949677426
3677636.201496295,-4572126.5036358405,-864318.682298102,34253.85352577876,0.0,-3919.053754838712,-163.17992949677426
3688571.187587339,-4593696.169811764,-874862.7162564421,34344.499652317674,0.0,-3919.053754838712,-163.17992949677426
3700262.6553424867,-4613560.0662311185,-882946.2939686509,34433.350604316394,0.0,-3919.053754838712,-163.17992949677426
3712589.9549158863,-4627794.30588146,-884766.1427161111,34520.441933798305,0.0,-3919.053754838712,-163.17992949677426
3725413.4967731074,-4646251.984236143,-890314.91265867,34605.80848870082,0.0,-3919.053754838712,-163.17992949677426
3767096.4692584383,-4612935.90069462,-815232.1806936953,34689.48442682146,0.0,-3919.053754838712,-163.17992949677426
3772385.10787578,-4632214.194455286,-829139.8170343536,34771.50322948695,0.0,-3919.053754838712,-163.17992949677426
3779343.2211083164,-4651336.6837512655,-841223.7986123334,34851.89771495122,0.0,-3919.053754838712,-163.17992949677426
3787688.0374582266,-4669170.9402172975,-850634.4363918793,34930.70005152757,0.0,-3919.053754838712,-163.17992949677426
