Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1224753.1266340604,93396.54074256589,0.0,-17548.872012903223,-730.6926306580644
9897743.618604522,-11237177.673819216,-1256148.7072162644,101564.9126419908,0.0,-17548.872012903223,-730.6926306580644
9901749.9548598,-11289943.725949802,-1299180.3632462143,107292.97248734886,0.0,-17548.872012903223,-730.6926306580644
9907803.966104822,-11349110.091028057,-1348166.957693288,111418.7318735078,0.0,-17548.872012903223,-730.6926306580644
9915706.83165701,-11406658.395118712,-1394741.205189447,114489.92291581669,0.0,-17548.872012903223,-730.6926306580644
9925279.415448545,-11461688.43595501,-1437823.9867326745,116864.59841735229,0.0,-17548.872012903223,-730.6926306580644
9936358.70522462,-11513569.021813238,-1476713.0144970685,118776.8667351092,0.0,-17548.872012903223,-730.6926306580644
9948791.255281938,-11535565.425050225,-1484673.8896753422,120379.84473650692,0.0,-17548.872012903223,-730.6926306580644
9962431.264975563,-11561563.010719867,-1495637.5859345882,121773.72445327957,0.0,-17548.872012903223,-730.6926306580644
10120824.093817824,-11462242.749896567,-1236674.1080913555,123024.11263094937,0.0,-17548.872012903223,-730.6926306580644
10105401.082017515,-11516783.734298946,-1300193.4801103943,130382.71504677652,0.0,-18426.315613548384,-767.2272621909675
10096010.74116292,-11550657.725434544,-1342326.2805949766,131514.24655238632,0.0,-18426.315613548384,-767.2272621909675
10091482.923348358,-11593487.239684785,-1388608.4381853465,132589.42102681863,0.0,-18426.315613548384,-767.2272621909675
10090947.075828705,-11642628.654905556,-1437254.0019137063,133621.12003888207,0.0,-18426.315613548384,-767.2272621909675
10093743.81548397,-11691853.64445897,-1482685.4794012,134617.89244953895,0.0,-18426.315613548384,-767.2272621909675
10099338.856738077,-11739729.484149143,-1523998.716881074,135585.45340573185,0.0,-18426.315613548384,-767.2272621909675
10107292.326052435,-11782683.83905311,-1558057.3920022203,136527.6638741933,0.0,-18426.315613548384,-767.2272621909675
10117268.835241025,-11791130.268158093,-1555607.805047468,137447.17074533802,0.0,-18426.315613548384,-767.2272621909675
10128900.648663055,-11802612.37249649,-1554559.4415654927,138345.82514368065,0.0,-18426.315613548384,-767.2272621909675
10289605.145314327,-11682579.622163322,-1272943.0639131786,139224.95581155637,0.0,-18426.315613548384,-767.2272621909675
10271184.034077687,-11724886.815245165,-1332810.77625027,140085.5477929473,0.0,-18426.315613548406,-767.2272621909685
10259227.580362666,-11748810.151805123,-1367847.755081243,140928.35923695232,0.0,-18426.315613548406,-767.2272621909685
10252430.264668062,-11778442.516528312,-1403451.7969699183,141753.99776607184,0.0,-18426.315613548406,-767.2272621909685
10249824.430610038,-11815725.93231855,-1442532.0741620816,142562.97042216806,0.0,-18426.315613548406,-767.2272621909685
10250670.698185377,-11856482.448952928,-1481649.577296801,143355.7163464908,0.0,-18426.315613548406,-767.2272621909685
10254398.97224648,-11898387.932607172,-1519049.8750596186,144132.62817681447,0.0,-18426.315613548406,-767.2272621909685
10260570.914076116,-11937733.661560675,-1551462.224289116,144894.06607118243,0.0,-18426.315613548406,-767.2272621909685
10268849.642086616,-11945543.033466658,-1550246.5673429363,145640.3669128451,0.0,-18426.315613548406,-767.2272621909685
10278858.54947147,-11952017.879807249,-1545981.0228458762,146371.85036564118,0.0,-18426.315613548406,-767.2272621909685
10435914.71476107,-11845757.87339117,-1281947.8786352668,147088.8228705712,0.0,-18426.315613548406,-767.2272621909685
10418125.76671725,-11885103.307321092,-1338379.5031832815,147791.58029630198,0.0,-18426.315613548388,-767.2272621909678
10406289.656499667,-11908423.546778023,-1372847.0234447536,148480.409709343,0.0,-18426.315613548388,-767.2272621909678
10399261.386603834,-11933717.678985724,-1404494.2446893984,149155.59056823186,0.0,-18426.315613548388,-767.2272621909678
10396170.408564918,-11965880.753880944,-1439086.4926511534,149817.395540613,0.0,-18426.315613548388,-767.2272621909678
10396348.101095619,-12000580.849572912,-1472960.200279858,150466.09107317447,0.0,-18426.315613548388,-767.2272621909678
10399266.829253778,-12035878.546359714,-1504703.322182294,151101.93779938246,0.0,-18426.315613548388,-767.2272621909678
10404501.04444892,-12068030.077842977,-1530997.3854292678,151725.19084052937,0.0,-18426.315613548388,-767.2272621909678
10411735.35677134,-12064421.339535229,-1519543.425603244,152336.1000363844,0.0,-18426.315613548388,-767.2272621909678
