period,oha,ohv,ogs
1,23336.907503486367,4563883.0,101213683.27694488
2,24503.752878660725,4792077.150000009,107195501.23729327
3,24503.752878660718,4792077.15000001,113123074.37326491
4,24503.752878660704,4792077.150000012,118770847.98753567
5,24503.752878660704,4792077.150000008,123937463.03768198
6,24503.7528786607,4792077.150000003,128626371.87672293
7,24503.752878660704,4792077.150000003,132816208.08563256
8,23960.01142812066,4792077.150000008,136441093.89281768
9,24175.613911435277,4792077.150000001,139562634.5971209
10,22170.06212831204,4792077.150000004,142175736.82277006
