Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1112077.7653543048,233491.22395476,0.0,-43872.156,-1826.7305759999997
9897743.618604522,-11237177.673819216,-1131220.7992735275,253912.14251716627,0.0,-43872.156,-1826.7305759999997
9901749.9548598,-11289943.725949802,-1165660.3733797173,268232.28428628447,0.0,-43872.156,-1826.7305759999997
9907803.966104822,-11349110.091028057,-1208458.3343975635,278546.6771016711,0.0,-43872.156,-1826.7305759999997
9915706.83165701,-11406658.395118712,-1250425.7995360936,286224.6505016086,0.0,-43872.156,-1826.7305759999997
9925279.415448545,-11461688.43595501,-1289946.5710790108,292161.3360034543,0.0,-43872.156,-1826.7305759999997
9936358.70522462,-11513569.021813238,-1325967.1989855205,296942.0041790956,0.0,-43872.156,-1826.7305759999997
9948791.255281938,-11535565.425050225,-1331523.609356892,300949.44698739576,0.0,-43872.156,-1826.7305759999997
9962431.264975563,-11561563.010719867,-1340396.487949824,304434.14437048236,0.0,-43872.156,-1826.7305759999997
10240287.028066948,-11296631.92483284,-794483.6702395761,307560.113102316,0.0,-43872.156,-1826.7305759999997
10193906.402103191,-11366746.797813201,-921341.2154701331,294913.1224870774,0.0,-41678.5482,-1735.3940472
10159594.92743258,-11415020.608109908,-1001367.085338662,297472.5375858668,0.0,-41678.5482,-1735.3940472
10134938.665391367,-11470623.235796247,-1079194.0341347835,299904.47851729684,0.0,-41678.5482,-1735.3940472
10118016.231290884,-11530784.056325179,-1153943.6851342593,302238.08214723587,0.0,-41678.5482,-1735.3940472
10107370.920599436,-11589746.906505443,-1221297.2429787943,304492.68517441116,0.0,-41678.5482,-1735.3940472
10101916.68898186,-11646746.736112026,-1281562.7746675406,306681.2147098259,0.0,-41678.5482,-1735.3940472
10100782.308517218,-11698318.675046459,-1332137.9048887065,308812.40388773405,0.0,-41678.5482,-1735.3940472
10103272.817940438,-11715102.394505538,-1344351.2790934106,310892.23971888947,0.0,-41678.5482,-1735.3940472
10108764.657198789,-11734052.587290352,-1355776.9630704105,312924.909268353,0.0,-41678.5482,-1735.3940472
10377828.756053334,-11444086.765750304,-794758.5339210766,314913.41802309384,0.0,-41678.5482,-1735.3940472
10324284.108659318,-11510095.982268192,-912365.8217985103,316859.9940575649,0.0,-41678.548200000034,-1735.3940472000013
10284252.4768606,-11557044.853888907,-997439.9670436212,318766.3522318842,0.0,-41678.548200000034,-1735.3940472000013
10254993.139634097,-11606902.993964467,-1074689.9296480443,320633.8669295258,0.0,-41678.548200000034,-1735.3940472000013
10234321.084359849,-11661745.91779132,-1148375.0906484057,322463.6850302641,0.0,-41678.548200000034,-1735.3940472000013
10220586.395303939,-11718342.032805452,-1216912.779919475,324256.79982923914,0.0,-41678.548200000034,-1735.3940472000013
10212575.027471166,-11775070.919618245,-1279895.734959063,326014.09943521605,0.0,-41678.548200000034,-1735.3940472000013
10209339.241118172,-11828515.490553128,-1334853.7931912134,327736.39849094197,0.0,-41678.548200000034,-1735.3940472000013
10210123.02727481,-11850565.633885123,-1354432.0898636836,329424.45899382775,0.0,-41678.548200000034,-1735.3940472000013
10214242.038286263,-11869655.115095261,-1367748.0150635617,331079.00399263634,0.0,-41678.548200000034,-1735.3940472000013
10481753.324598614,-11584498.476157643,-813458.3671788825,332700.7266273462,0.0,-41678.548200000034,-1735.3940472000013
10427773.968167128,-11656621.85183729,-937971.5297930264,334290.2961243376,0.0,-41678.54819999999,-1735.3940471999992
10387583.962519502,-11710943.189040644,-1030924.8069679829,335848.36180035904,0.0,-41678.54819999999,-1735.3940471999992
10358223.896406438,-11761820.264843026,-1109634.7549201266,337375.55576366145,0.0,-41678.54819999999,-1735.3940471999992
10337530.968517542,-11816141.438002717,-1183151.9169702227,338872.4947621505,0.0,-41678.54819999999,-1735.3940471999992
10323902.341152439,-11871254.190881958,-1250426.01050419,340339.78147252835,0.0,-41678.54819999999,-1735.3940471999992
10316083.765372284,-11925333.342291215,-1310885.5137435822,341778.0054225504,0.0,-41678.54819999999,-1735.3940471999992
10313076.443823425,-11975095.102627236,-1362244.8573790446,343187.7436719668,0.0,-41678.54819999999,-1735.3940471999992
10314061.399644494,-11985250.937880497,-1370033.9191489706,344569.56133423175,0.0,-41678.54819999999,-1735.3940471999992
10318262.418431604,-11999664.382994736,-1378891.8948176878,345924.0119926448,0.0,-41678.54819999999,-1735.3940471999992
10577097.260350805,-11708116.449025327,-827181.4928756981,347251.63804602344,0.0,-41678.54819999999,-1735.3940471999992
10523299.078303212,-11776719.028283507,-948280.9212206276,348552.9710068658,0.0,-41678.54820000007,-1735.394047200003
10483440.494070634,-11829754.816259885,-1039899.7326694103,349828.5317670408,0.0,-41678.54820000007,-1735.394047200003
10454589.71560415,-11878761.501891246,-1116506.897693443,351078.8308408531,0.0,-41678.54820000007,-1735.394047200003
10434472.509018805,-11933037.460977035,-1189674.5256134763,352304.368591952,0.0,-41678.54820000007,-1735.394047200003
10421445.923329562,-11987400.11620303,-1255862.4996723372,353505.63544833235,0.0,-41678.54820000007,-1735.394047200003
10414226.244082108,-12037907.788609322,-1312412.3746661793,354683.1121082346,0.0,-41678.54820000007,-1735.394047200003
10411809.641026549,-12085563.650937181,-1361330.68241903,355837.2697388023,0.0,-41678.54820000007,-1735.394047200003
10413411.52307759,-12102267.830754384,-1375301.6797552574,356968.57016873657,0.0,-41678.54820000007,-1735.394047200003
10418307.466584738,-12117665.201389499,-1384694.2109761762,358077.4660757849,0.0,-41678.54820000007,-1735.394047200003
10679690.232965343,-11859763.096868591,-864322.4049808175,359164.4011696327,0.0,-41678.54820000007,-1735.394047200003
10630246.713133372,-11919540.260643953,-972477.679387184,360229.8103705973,0.0,-41678.548200000005,-1735.3940472000004
10593404.971833235,-11967896.804808708,-1056631.6552382703,361274.1199844037,0.0,-41678.548200000005,-1735.3940472000004
10566594.400020363,-12007539.35753828,-1122061.1518918613,362297.74787325616,0.0,-41678.548200000005,-1735.3940472000004
10547792.800668374,-12050476.600696055,-1182796.6386515256,363301.1036233574,0.0,-41678.548200000005,-1735.3940472000004
10535474.061092168,-12091117.032565039,-1234772.3250110634,364284.5887090073,0.0,-41678.548200000005,-1735.3940472000004
10528473.809614027,-12132762.373152673,-1282453.9091324632,365248.5966533819,0.0,-41678.548200000005,-1735.3940472000004
10525902.311991196,-12173384.510593,-1324702.6276629213,366193.5131860838,0.0,-41678.548200000005,-1735.3940472000004
10527104.334745908,-12184019.924820164,-1333209.8159239145,367119.71639754326,0.0,-41678.548200000005,-1735.3940472000004
10531366.057872782,-12196094.321305033,-1340114.6287891108,368027.57689034194,0.0,-41678.548200000005,-1735.3940472000004
10805557.036361987,-11941315.87639667,-810255.3243543542,368917.4579275273,0.0,-41678.548200000005,-1735.3940472000004
10754835.325472359,-11994304.874538278,-913093.775735138,369789.7155779818,0.0,-41678.5482,-1735.3940472
10716396.870928878,-12036121.325861795,-992493.6983212078,370644.6988589076,0.0,-41678.5482,-1735.3940472
10687729.724357553,-12067253.574060066,-1051455.042074226,371482.74987548654,0.0,-41678.5482,-1735.3940472
10666931.0526363,-12103047.840570377,-1107226.526223508,372304.2039577708,0.0,-41678.5482,-1735.3940472
10652526.060498694,-12134965.143370222,-1152743.6353238674,373109.38979486184,0.0,-41678.5482,-1735.3940472
10643381.734831814,-12167560.772852516,-1193694.3507014692,373898.62956643186,0.0,-41678.5482,-1735.3940472
10638640.51189277,-12203009.34878865,-1233110.5400714437,374672.23907163815,0.0,-41678.5482,-1735.3940472
10637630.488678787,-12213355.997842385,-1243708.9235553124,375430.52785548527,0.0,-41678.5482,-1735.3940472
10639723.556576975,-12223392.195287898,-1250908.7816254396,376173.79933268396,0.0,-41678.5482,-1735.3940472
10948455.439332677,-11936874.012513153,-654930.1645186195,376902.35090905725,0.0,-41678.5482,-1735.3940472
10892583.046385435,-11978503.738415962,-751718.1601771862,377616.4741005415,0.0,-41678.54819999999,-1735.3940471999992
10848638.541301886,-12013817.004011637,-830275.9503071193,378316.4546498323,0.0,-41678.54819999999,-1735.3940471999992
10814460.350857917,-12038973.307578892,-888924.3263274583,379002.5726407169,0.0,-41678.54819999999,-1735.3940471999992
10788316.38271639,-12073897.46910052,-949319.9260211848,379675.1026101465,0.0,-41678.54819999999,-1735.3940471999992
10768828.286935637,-12105437.048845703,-999688.3904991803,380334.3136580858,0.0,-41678.54819999999,-1735.3940471999992
10754888.240145715,-12136715.330156371,-1044260.5627026667,380980.46955518855,0.0,-41678.54819999999,-1735.3940471999992
10745647.224312766,-12168555.57038123,-1084708.4594673233,381613.8288483404,0.0,-41678.54819999999,-1735.3940471999992
10740501.704745265,-12181498.960354699,-1102176.552892523,382234.6449641112,0.0,-41678.54819999999,-1735.3940471999992
10738822.288236184,-12190155.775284482,-1111904.2629853399,382843.16631015943,0.0,-41678.54819999999,-1735.3940471999992
11039915.211192932,-11909907.89431031,-529966.9889899505,383439.63637462695,0.0,-41678.54819999999,-1735.3940471999992
10982174.869288597,-11952791.412574401,-630006.1917094371,384024.2938235668,0.0,-41678.548200000005,-1735.3940472000004
10936393.118741458,-11990343.503288874,-712766.9541981764,384597.3725964399,0.0,-41678.548200000005,-1735.3940472000004
10900389.63123945,-12016638.64780859,-774503.8568166193,385159.1019997229,0.0,-41678.548200000005,-1735.3940472000004
10872489.45486604,-12050954.123199062,-836168.9037815626,385709.7067986595,0.0,-41678.548200000005,-1735.3940472000004
10851313.127692064,-12083811.723505072,-889663.13075301,386249.4073071965,0.0,-41678.548200000005,-1735.3940472000004
10835756.903996509,-12117332.930796156,-938211.549570708,386778.41947613814,0.0,-41678.548200000005,-1735.3940472000004
10824973.470918005,-12150129.294168089,-981272.8105177293,387296.9549795544,0.0,-41678.548200000005,-1735.3940472000004
10818312.772167435,-12170067.128114931,-1007363.0768952157,387805.221299479,0.0,-41678.548200000005,-1735.3940472000004
10815125.82149967,-12183897.353057621,-1023882.0519962227,388303.42180892837,0.0,-41678.548200000005,-1735.3940472000004
11148675.612509795,-11894083.707425674,-400030.28130980156,388791.75585327845,0.0,-41678.548200000005,-1735.3940472000004
11085455.51036236,-11928922.940966433,-476984.85853625595,412485.62332062924,0.0,-44164.16224239878,-1838.889010415047
11034372.73710324,-11959641.582827687,-558289.1091841122,412982.78779314744,0.0,-44164.16224239878,-1838.889010415047
10993273.9984425,-11982188.199032875,-621447.1455247331,413470.10631845426,0.0,-44164.16224239878,-1838.889010415047
10960468.149533216,-12009660.593042277,-681247.720874167,413947.7738877082,0.0,-44164.16224239878,-1838.889010415047
10934550.650697714,-12032376.491876755,-729412.9108014317,414415.9816304228,0.0,-44164.16224239878,-1838.889010415047
10914381.972653229,-12057036.977855183,-773783.1395638245,414874.9168909438,0.0,-44164.16224239878,-1838.889010415047
10899118.029476553,-12083156.32160897,-814716.580081819,415324.7633034108,0.0,-44164.16224239878,-1838.889010415047
10888132.641304266,-12093511.791064654,-835616.5001479661,415765.70086523535,0.0,-44164.16224239878,-1838.889010415047
10880852.5624939,-12107034.983181905,-855987.5659316947,416197.9060091232,0.0,-44164.16224239878,-1838.889010415047
11252198.690932624,-11774270.714989532,-151453.5236360506,416621.5516736709,0.0,-44164.16224239878,-1838.889010415047
