Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-924285.4279755445,466982.4479095204,0.0,-87744.31199999999,-3653.4611519999994
9897743.618604522,-11237177.673819216,-923007.5433323609,507824.28503433283,0.0,-87744.31199999999,-3653.4611519999994
9901749.9548598,-11289943.725949802,-943126.9756694327,536464.5685725692,0.0,-87744.31199999999,-3653.4611519999994
9907803.966104822,-11349110.091028057,-975610.5438718922,557093.3542033425,0.0,-87744.31199999999,-3653.4611519999994
9915706.83165701,-11406658.395118712,-1009900.0356104849,572449.3010032175,0.0,-87744.31199999999,-3653.4611519999994
9925279.415448545,-11461688.43595501,-1043484.1216515565,584322.6720069089,0.0,-87744.31199999999,-3653.4611519999994
9936358.70522462,-11513569.021813238,-1074724.0813824246,593884.0083581915,0.0,-87744.31199999999,-3653.4611519999994
9948791.255281938,-11535565.425050225,-1076273.0489454959,601898.8939747917,0.0,-87744.31199999999,-3653.4611519999994
9962431.264975563,-11561563.010719867,-1081661.2301553413,608868.2887409648,0.0,-87744.31199999999,-3653.4611519999994
10596824.766839467,-11026645.158834938,93902.06105716112,615120.2262046321,0.0,-87744.31199999999,-3653.4611519999994
10484231.831146695,-11085263.983835883,-98033.79220943357,589826.2449741546,0.0,-83357.09640000005,-3470.788094400002
10392635.593947927,-11123233.640431978,-222480.85580671814,594945.0751717336,0.0,-83357.09640000005,-3470.788094400002
10318042.724063812,-11170158.96298517,-339135.16638116346,599808.9570345937,0.0,-83357.09640000005,-3470.788094400002
10257364.696933921,-11223423.316181175,-448410.3394471831,604476.1642944717,0.0,-83357.09640000005,-3470.788094400002
10208198.770076083,-11276840.418369131,-546484.1624386262,608985.3703488222,0.0,-83357.09640000005,-3470.788094400002
10168649.222936893,-11329062.994918553,-633879.2270564081,613362.4294196517,0.0,-83357.09640000005,-3470.788094400002
10137193.670758495,-11376557.563953277,-708566.9699137138,617624.8077754681,0.0,-83357.09640000005,-3470.788094400002
10112618.74708789,-11389538.145233149,-741962.8032018789,621784.479437779,0.0,-83357.09640000005,-3470.788094400002
10093852.592422789,-11405604.665916156,-772730.1394510613,625849.818536706,0.0,-83357.09640000005,-3470.788094400002
10680180.069115706,-10833578.956322119,389600.06434537575,629826.8360461877,0.0,-83357.09640000005,-3470.788094400002
10540688.26087695,-10891927.279657079,195653.0848406007,633719.9881151298,0.0,-83357.09639999998,-3470.7880943999985
10426126.573306642,-10931652.317771746,45179.07550426493,637532.7044637684,0.0,-83357.09639999998,-3470.7880943999985
10331800.228137992,-10975942.552175244,-89702.4746725999,641267.7338590517,0.0,-83357.09639999998,-3470.7880943999985
10254022.379701542,-11027039.635169312,-214917.76990164057,644927.3700605283,0.0,-83357.09639999998,-3470.7880943999985
10189931.067164142,-11081060.533012167,-329443.75068394677,648513.5996584784,0.0,-83357.09639999998,-3470.7880943999985
10137312.802679216,-11136136.15492071,-433623.037865462,652028.1988704321,0.0,-83357.09639999998,-3470.7880943999985
10094408.193074347,-11188619.935999924,-525566.8304380928,655472.796981884,0.0,-83357.09639999998,-3470.7880943999985
10059792.17759606,-11210173.999694997,-578360.7886056809,658848.9179876554,0.0,-83357.09639999998,-3470.7880943999985
10032235.84907281,-11230240.834860574,-622674.8622968914,662158.0079852727,0.0,-83357.09639999998,-3470.7880943999985
10589355.971026504,-10669077.313758776,498852.2260280197,665401.4532546924,0.0,-83357.09639999998,-3470.7880943999985
10446485.981835,-10740789.191076789,287449.49851248617,668580.5922486755,0.0,-83357.09640000007,-3470.7880944000026
10329363.159878641,-10795152.266422534,119079.73256242611,671696.7236007183,0.0,-83357.09640000007,-3470.7880944000026
10233139.915565515,-10848647.711912697,-27584.569314258126,674751.1115273233,0.0,-83357.09640000007,-3470.7880944000026
10154012.95130664,-10906908.108508924,-161978.05217238312,677744.9895243013,0.0,-83357.09640000007,-3470.7880944000026
10089066.725775322,-10966675.348973026,-283756.94474704744,680679.5629450569,0.0,-83357.09640000007,-3470.7880944000026
10036014.801483903,-11026386.773723522,-393643.8458889187,683556.0108451011,0.0,-83357.09640000007,-3470.7880944000026
9993023.647702135,-11082575.131568197,-490003.88101652794,686375.4873439339,0.0,-83357.09640000007,-3470.7880944000026
9958575.962482298,-11102658.924473653,-541771.7238172897,689139.1226684637,0.0,-83357.09640000007,-3470.7880944000026
9931355.346273428,-11125650.495440919,-589275.0096765999,691848.0239852899,0.0,-83357.09640000007,-3470.7880944000026
10477206.516958019,-10574327.52009402,510554.38846164563,694503.276092047,0.0,-83357.09640000007,-3470.7880944000026
10338086.17439847,-10648666.136909569,299698.0950082336,697105.9420137323,0.0,-83357.0964000001,-3470.7880944000035
10224317.749170179,-10706195.396666052,130951.53154380871,699657.0635340821,0.0,-83357.0964000001,-3470.7880944000035
10131171.45443312,-10762130.966359029,-15629.734738600888,702157.6616817069,0.0,-83357.0964000001,-3470.7880944000035
10054958.25206949,-10826025.039532995,-153285.93477399994,704608.7371839047,0.0,-83357.0964000001,-3470.7880944000035
9992816.921854788,-10892056.296038158,-279055.98778110417,707011.2708966654,0.0,-83357.0964000001,-3470.7880944000035
9942512.744875127,-10955473.413723813,-390422.3291266151,709366.22421647,0.0,-83357.0964000001,-3470.7880944000035
9902245.930214766,-11015610.46494267,-488517.8797446968,711674.5394776053,0.0,-83357.0964000001,-3470.7880944000035
9870541.866922555,-11045222.873614104,-547571.750848474,713937.1403374738,0.0,-83357.0964000001,-3470.7880944000035
9846143.166673748,-11076929.517281447,-601459.3029505278,716154.9321515705,0.0,-83357.0964000001,-3470.7880944000035
10368641.036593974,-10481251.477064729,518890.47737411,718328.8023392659,0.0,-83357.0964000001,-3470.7880944000035
