period,oha,ohv,ogs,ocp,ocf
1,16308.85071731318,3651105.6,102287539.04165079,179241956.02198118,-1066854.792528912
2,15493.408181447536,3468550.320000001,109926375.60742097,181750973.37385044,-1345864.6611055578
3,15937.087437348806,3468550.3199999984,117742216.55857621,184869571.24023715,-1477333.441355321
4,17124.293253178843,3468550.3200000008,125424531.32117693,188176152.7295116,-1530507.393683213
5,17124.293253178857,3468550.319999999,132742104.58477089,191535121.88073793,-1554583.3298375788
6,17124.293253178843,3468550.320000001,139616589.66932163,194887692.86877027,-1525872.2162965538
7,17124.293253178854,3468550.3199999984,145971570.7012081,198035120.37351272,-1492461.0520097457
8,15493.408181447516,3468550.3199999975,151700160.8760042,201138963.3081173,-1431955.2747035548
9,15493.408181447525,3468550.319999997,156674987.47318977,203999480.08858648,-1326069.23982059
10,15493.408181447538,3468550.3200000008,160914228.2700861,206126883.77756983,-1230602.4079726264
