Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
9896025.990002148,-11195896.092735212,-1149636.2328300572,186792.97916380793,0.0,-35097.72480000001,-1461.3844608000004
9897743.618604522,-11237177.673819216,-1172863.4504617609,203129.71401373288,0.0,-35097.72480000001,-1461.3844608000004
9901749.9548598,-11289943.725949802,-1210167.0529217746,214585.8274290274,0.0,-35097.72480000001,-1461.3844608000004
9907803.966104822,-11349110.091028057,-1255027.8925026979,222837.34168133675,0.0,-35097.72480000001,-1461.3844608000004
9915706.83165701,-11406658.395118712,-1298530.9523212158,228979.72040128673,0.0,-35097.72480000001,-1461.3844608000004
9925279.415448545,-11461688.43595501,-1339239.0609645022,233729.06880276324,0.0,-35097.72480000001,-1461.3844608000004
9936358.70522462,-11513569.021813238,-1376215.82250614,237553.60334327628,0.0,-35097.72480000001,-1461.3844608000004
9948791.255281938,-11535565.425050225,-1382573.7214391713,240759.5575899164,0.0,-35097.72480000001,-1461.3844608000004
9962431.264975563,-11561563.010719867,-1392143.5395087206,243547.31549638574,0.0,-35097.72480000001,-1461.3844608000004
10183069.799181856,-11413601.42157053,-1021042.6411676207,246048.09048185256,0.0,-35097.72480000001,-1461.3844608000004
10156309.572302982,-11469866.039613314,-1112357.1231184306,235930.4979896615,0.0,-33342.83855999997,-1388.3152377599984
10137249.326611659,-11505216.782639323,-1164720.5797567312,237978.0300686931,0.0,-33342.83855999997,-1388.3152377599984
10124423.945725465,-11549493.87462688,-1219877.4998853388,239923.58281383707,0.0,-33342.83855999997,-1388.3152377599984
10116749.47106872,-11600233.024204083,-1276424.2412153357,241790.46571778838,0.0,-33342.83855999997,-1388.3152377599984
10113377.559691956,-11651149.908307645,-1328909.3542739206,243594.14813952855,0.0,-33342.83855999997,-1388.3152377599984
10113622.936369278,-11700754.06565103,-1376517.31131165,245344.97176786035,0.0,-33342.83855999997,-1388.3152377599984
10116925.250837415,-11745467.450128991,-1416223.4299791493,247049.9231101869,0.0,-33342.83855999997,-1388.3152377599984
10122845.962040277,-11755551.600091236,-1418723.000073607,248713.79177511123,0.0,-33342.83855999997,-1388.3152377599984
10130942.984572828,-11768577.223351551,-1422025.4651618018,250339.92741468205,0.0,-33342.83855999997,-1388.3152377599984
10354159.707966153,-11604592.879486838,-1033233.5908999708,251930.73441847466,0.0,-33342.83855999997,-1388.3152377599984
10321958.072159985,-11647719.227504294,-1107004.3138960176,253487.99524605158,0.0,-33342.83856000002,-1388.3152377600006
10297979.191025484,-11672842.91659145,-1154581.7975782193,255013.08178550706,0.0,-33342.83856000002,-1388.3152377600006
10280679.612337664,-11703857.807837224,-1201402.2557537004,256507.09354362034,0.0,-33342.83856000002,-1388.3152377600006
10268890.54823687,-11742911.217804303,-1250780.8753409844,257970.94802421096,0.0,-33342.83856000002,-1388.3152377600006
10261694.397456931,-11785684.605238365,-1299315.9217158037,259405.43986339105,0.0,-33342.83856000002,-1388.3152377600006
10258367.942641579,-11829754.15685488,-1345306.0884628894,260811.27954817255,0.0,-33342.83856000002,-1388.3152377600006
10258345.810268596,-11871401.135818314,-1385597.360554725,262189.11879275326,0.0,-33342.83856000002,-1388.3152377600006
10261185.857005687,-11881410.769868713,-1391416.499465723,263539.5671950619,0.0,-33342.83856000002,-1388.3152377600006
10266423.1143311,-11890081.154908836,-1393525.9911813862,264863.20319410873,0.0,-33342.83856000002,-1388.3152377600006
10483961.804401474,-11725580.180409148,-1010188.9485035568,266160.5813018766,0.0,-33342.83856000002,-1388.3152377600006
10449605.116486706,-11769183.195009578,-1086876.9954211628,267432.2368994701,0.0,-33342.83855999997,-1388.3152377599984
10423672.799406659,-11796548.318964414,-1138927.983915228,268678.68944028724,0.0,-33342.83855999997,-1388.3152377599984
10404589.465340909,-11825423.994753681,-1185665.238599602,269900.4446109292,0.0,-33342.83855999997,-1388.3152377599984
10391149.070167102,-11861179.94490704,-1233664.0327279775,271097.9958097204,0.0,-33342.83855999997,-1388.3152377599984
10382409.741822999,-11899461.780053468,-1279511.3668502057,272271.8251780227,0.0,-33342.83855999997,-1388.3152377599984
10377622.989241801,-11938251.673181726,-1321937.4333996456,273422.40433804033,0.0,-33342.83855999997,-1388.3152377599984
10376184.419068467,-11973858.728664136,-1357855.2684558544,274550.1949375735,0.0,-33342.83855999997,-1388.3152377599984
10377598.800768076,-11969644.721450586,-1351121.4254128865,275655.64906738536,0.0,-33342.83855999997,-1388.3152377599984
10381319.256073015,-11971446.994329894,-1348119.682460524,276739.2095941158,0.0,-33342.83855999997,-1388.3152377599984
10588158.190182483,-11800432.280999105,-969203.9341775635,277801.3104368187,0.0,-33342.83855999997,-1388.3152377599984
10552976.918309279,-11843386.453268534,-1046298.3119515225,278842.3768054924,0.0,-33342.83856,-1388.31523776
10526361.057925628,-11868644.19438521,-1097151.4648437093,279862.8254136324,0.0,-33342.83856,-1388.31523776
10506689.370380664,-11893924.088208582,-1141102.8069529952,280863.06467268226,0.0,-33342.83856,-1388.31523776
10492733.765109934,-11929255.209465317,-1189409.1032795825,281843.49487356143,0.0,-33342.83856,-1388.31523776
10483541.501622178,-11968060.056501172,-1236445.20031809,282804.5083586657,0.0,-33342.83856,-1388.31523776
10478354.850459924,-12004947.797617875,-1277577.6112691248,283746.48968658753,0.0,-33342.83856,-1388.31523776
10476563.630397994,-12039016.51174116,-1312514.2193498847,284669.8157910416,0.0,-33342.83856,-1388.31523776
10477711.70103515,-12041998.028984185,-1313442.6256118068,285574.856134989,0.0,-33342.83856,-1388.31523776
10481303.788208116,-12045128.884795915,-1312094.2775249318,286461.97286062763,0.0,-33342.83856,-1388.31523776
