Biomass,DOM,Total Ecosystem,HWP
58220727.53483409,122254229.50556736,180474957.04040143,0.0
58719982.15586915,122109484.9125504,181039405.64041954,209938.5720000002
59214105.14779269,121980662.11750358,181598429.50974876,403662.24445248424
59706955.23803828,121866410.32846436,182159612.8005554,586247.2340527467
60200470.18760126,121765978.86751682,182727470.29235157,761021.23723349
60694400.871976286,121678671.33681317,183303241.41675892,930169.207969477
61188276.26404601,121603816.58669974,183887222.04396036,1095129.193214589
61681486.79111259,121540754.3277937,184479092.10527408,1256850.9863677854
62165971.42669781,121489026.28396346,185070962.85299554,1415965.1423342682
62643097.44011036,121448027.11029936,185664017.97081506,1572893.4204053145
58582470.25367743,123537294.2376989,183847685.44582558,1727920.954449223
59068649.95327354,123236638.38321759,184092469.58039856,1787181.2439074316
59550616.3211902,122974467.12816586,184456431.38587695,1931347.9365208978
60031266.80516292,122745747.70665856,184851133.0963565,2074118.584535024
60512580.02048883,122546582.48321442,185274725.2230171,2215562.7193138245
60994795.407579094,122373745.97180979,185724275.35877424,2355733.979385386
61477740.49249658,122224555.00683165,186196970.9553158,2494675.4559875787
61960284.51926212,122096713.6510699,186689421.35953882,2632423.1892068186
62432827.71537865,121988614.86349979,187190451.03448018,2769008.455601744
62896696.33225041,121898246.25975601,187699401.85809517,2904459.266088767
58834107.12947954,123930474.56254672,185803383.0397569,3038801.347730628
59303235.12141966,123590402.00965823,186065695.91931143,3172058.7882335386
59768851.671636455,123294280.12640867,186367386.2580355,3304254.4599903743
60232447.726033404,123036422.96527989,186704280.99132907,3435410.3000157634
60696266.22239351,122812209.70185803,187074023.41991216,3565547.4956606207
61161403.744923495,122617755.18602815,187473845.53965673,3694686.608705076
61628258.73217376,122449946.42305495,187901052.81436062,3822847.6591319074
62096167.83744826,122306212.16812067,188352430.18806985,3950050.182500934
62556494.67908854,122184680.56166683,188817488.51077676,4076313.2700213823
63009197.86459564,122083126.76903403,189293980.2308972,4201655.59726753
58912111.962474085,124110713.49447656,187348920.90237406,4326095.445423418
59371198.13714749,123763086.02667429,187583934.88141853,4449650.717596737
59829379.636482336,123461429.09413622,187863147.68248117,4572338.951862606
60286801.06667516,123199767.76499309,188180746.16379163,4694177.332123373
60745209.604735576,122973260.89264904,188533653.19487968,4815182.697495066
61205244.08339406,122777884.56744595,188918500.20152578,4935371.550685763
61667040.8551533,122610373.06190474,189332173.98272884,5054760.065670801
62129826.47032693,122467945.16690889,189771135.73210073,5173364.094864918
62582592.92845679,122348540.24522988,190222332.34960967,5291199.175922989
63028132.48316495,122249330.98001936,190685744.00144053,5408280.53825619
58913722.89196642,124272189.95784217,188710535.95912975,5524623.109321163
59365970.98490062,123927896.80857447,188934109.31419575,5640241.520720659
59817880.99391161,123630245.13002111,189203276.23807424,5755150.114141512
60269008.304312676,123373198.62010463,189511569.87156504,5869362.947147726
60721953.96147435,123151883.72463715,189856731.48495245,5982893.798840949
61177440.449303746,122962255.45193662,190235452.0766376,6095756.175397211
61634837.453027196,122801012.29845035,190643813.06696388,6207963.315486355
62093315.38898571,122665372.1538795,191078215.7384444,6319528.19557919
62544473.87485816,122553432.6878586,191528370.09786302,6430463.535146262
62989111.34118465,122462681.02133486,191992574.16427106,6540781.801751548
58856661.2807086,124527727.53806305,190034884.03481555,6650495.216043902
59305003.8119299,124191067.63788554,190255687.2064641,6759615.756648701
59754412.01714663,123900841.83526804,190523409.01737672,6868155.1649620645
60203502.06446619,123651236.80200268,190830863.8163186,6976124.949849717
60653566.781323984,123437382.77222668,191174485.9458032,7083536.39225254
61104997.206248656,123255204.90218522,191550602.65813464,7190400.549700762
61557542.514949605,123101373.47417188,191955644.24986014,7296728.26073863
62010913.721315324,122973136.24828494,192386580.11886165,7402530.149261385
62457492.37786679,122868981.3097021,192834290.3163352,7507816.628766303
62898497.66187643,122786046.63764407,193297142.20604,7612597.9065195145
58735370.62707836,124914782.55338709,191367037.16810575,7716883.987640291
59175335.75245404,124584312.37074354,191580332.802302,7820684.6791044045
59613737.389028594,124299537.27831334,191837284.26101023,7924009.593668287
60050777.031242676,124054743.25685064,192132388.44180864,8026868.1537152985
60487874.4156065,123845013.20609106,192462157.21672356,8129269.595025995
60924975.839563124,123666488.7555926,192822687.56562933,8231222.970473627
61362705.93470542,123515912.60241497,193211355.69076684,8332737.153646482
61800942.65036002,123390508.52808006,193625272.02083856,8433820.842398483
62233876.96890365,123288543.55772345,194056903.08895656,8534482.56232946
62661707.80923744,123207643.45589764,194504081.9353316,8634730.670196522
58453055.0168689,125361776.99606335,192549405.37019008,8734573.35725784
58875516.19830975,125031835.4730233,192741370.3238833,8834018.652550248
59297216.0334413,124746730.48579688,192977020.94534,8933074.426101826
59717144.19275981,124501302.56169331,193250195.14653417,9031748.392081063
60136719.254905686,124290694.4107007,193557461.77748984,9130048.111883452
60554197.513598084,124110821.07625666,193892999.5870118,9227980.997157063
60969669.67468655,123958358.81237079,194253582.7998255,9325554.31276816
61384366.33613628,123830686.34352875,194637827.85937315,9422775.17970811
61791991.804139666,123726221.0082176,195037863.39029998,9519650.577942705
62194555.93471347,123642724.41101594,195453467.6949345,9616187.349205064
58039209.584177256,125720689.28212191,193472291.06603238,9712392.19973321
58438810.87017598,125400729.84026186,193647812.4133913,9808271.702953473
58839468.22724774,125124385.22987603,193867685.75923446,9903832.302110672
59241303.16164358,124886604.29842956,194126987.77291945,9999080.312846301
59644729.047415905,124682932.76251747,194421683.73565897,10094021.9257256
60047911.44655425,124509393.01782733,194745967.67309615,10188663.208714565
60450212.86347988,124362821.5632401,195096044.53632796,10283010.109607967
60853036.03116071,124240777.17664778,195470881.6662177,10377068.458409218
61252939.827921644,124141408.07971533,195865191.8773001,10470843.96966315
61652033.88135232,124062400.81224725,196278776.93834215,10564342.24474258
57481752.49917318,126175667.84134984,194314989.11461258,10657568.77408958
57880110.25678246,125859491.39571783,194490130.59191263,10750528.93941235
58279820.05769016,125586945.4215163,194709993.49504519,10843228.01583875
58682097.61148152,125353149.63521826,194970918.4207266,10935671.174026811
59087460.45730549,125153693.99694066,195269017.93648,11027863.48223383
59494990.946883686,124984817.30666637,195599618.16189435,11119809.908344291
59904494.95430191,124843451.469982,195959461.74614158,11211515.321857685
60315997.97836784,124727130.10527313,196346112.57947788,11302984.495836925
60726858.42368828,124634184.32928261,196755264.86178908,11394222.108818216
61137137.2936176,124562905.57419218,197185275.61449283,11485232.746683065
56945387.08611838,126694406.67190705,195215814.66251868,11576020.904493246
