period,oha,ohv,ogs
1,49928.70604297229,9127764.999999998,95844410.33576845
2,47432.27074082369,9584153.250000006,95942442.17366394
3,49054.66430549015,9584153.250000015,96061466.09372109
4,48658.48738017342,9584153.249999996,96067132.82005818
5,50407.86621992845,9584153.250000022,96009938.46813966
6,47432.27074082372,9584153.250000015,96206477.5858956
7,52425.14134512086,9584153.250000011,96630830.33272293
8,49516.64456224831,9584153.250000024,96921849.03988957
9,48118.20419060068,9584153.25000001,96699547.52788909
10,49136.420663754216,9584153.250000015,95924661.29999958
