Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-471811.9939309,35273.25041802974,0.0,-6627.716103225805,-275.96208526451613
1606482.2789892564,-2112336.1832102737,-474399.36733191775,38358.215077590175,0.0,-6627.716103225805,-275.96208526451613
1617333.0696080052,-2127450.148186882,-476499.21435743285,40521.5424099342,0.0,-6627.716103225805,-275.96208526451613
1628126.27130303,-2142533.651920808,-479231.33294718876,42079.72585907982,0.0,-6627.716103225805,-275.96208526451613
1638847.0779621457,-2157405.8360304483,-482222.80779472954,43239.62846206348,0.0,-6627.716103225805,-275.96208526451613
1649487.7128556406,-2172224.09227385,-485503.5808999234,44136.47670677637,0.0,-6627.716103225805,-275.96208526451613
1660035.8722198664,-2186853.5155790495,-488862.6348028975,44858.6867447758,0.0,-6627.716103225805,-275.96208526451613
1670481.2589194207,-2200460.441727845,-491418.7744802807,45464.086516633986,0.0,-6627.716103225805,-275.96208526451613
1680816.6558127305,-2212473.815667133,-492570.32230402617,45990.5157388667,0.0,-6627.716103225805,-275.96208526451613
1812330.4469750961,-2075820.9088770072,-223931.38785369432,46462.75223670723,0.0,-6627.716103225805,-275.96208526451613
1795026.602240738,-2090650.730496249,-253631.10064892258,49241.889704503046,0.0,-6959.101908387098,-289.760189527742
1782062.677692799,-2104771.880035095,-280288.82706484175,49669.23737536891,0.0,-6959.101908387098,-289.760189527742
1772536.840124927,-2118218.6133063924,-302855.3347010468,50075.300578333336,0.0,-6959.101908387098,-289.760189527742
1765766.2461972157,-2132058.8016552753,-323076.4732358149,50464.94432015945,0.0,-6959.101908387098,-289.760189527742
1761221.7339889857,-2144498.359832143,-339684.0906755322,50841.39726553988,0.0,-6959.101908387098,-289.760189527742
1758488.8485080872,-2156621.0396146784,-354174.2353395394,51206.81786496629,0.0,-6959.101908387098,-289.760189527742
1757246.5336754126,-2169723.6429367084,-368163.30706207134,51562.664297139156,0.0,-6959.101908387098,-289.760189527742
1757240.615152614,-2181666.763967601,-379765.0746946711,51909.936218230825,0.0,-6959.101908387098,-289.760189527742
1758260.880638375,-2193677.4309843797,-390416.07969793765,52249.332745982036,0.0,-6959.101908387098,-289.760189527742
1870451.6983547886,-2064734.4192177947,-148950.22725186546,52581.355709055424,0.0,-6959.101908387098,-289.760189527742
1847230.648306541,-2078743.2126660398,-185855.04932651532,52906.3771308983,0.0,-6959.101908387093,-289.7601895277418
1828969.8017791656,-2093423.051406506,-218477.42838212234,53224.68334313279,0.0,-6959.101908387093,-289.7601895277418
1814689.9437634358,-2107586.2882367754,-246608.70274354238,53536.50382771242,0.0,-6959.101908387093,-289.7601895277418
1803647.6735863555,-2121223.470818115,-270982.62924956577,53842.03008010834,0.0,-6959.101908387093,-289.7601895277418
1795260.636848102,-2133963.033025319,-291809.83032349445,54141.42795163747,0.0,-6959.101908387093,-289.7601895277418
1789072.411991725,-2146518.1064840374,-310259.7108596671,54434.845730560046,0.0,-6959.101908387093,-289.7601895277418
1784715.899658403,-2159571.0322840167,-327381.5752850747,54722.41943845412,0.0,-6959.101908387093,-289.7601895277418
1781895.4919748686,-2172158.5650582267,-342507.65887461096,55004.276306662054,0.0,-6959.101908387093,-289.7601895277418
1780378.1185388537,-2184281.492118498,-355871.69861432083,55280.537063238036,0.0,-6959.101908387093,-289.7601895277418
1897623.370736378,-2046859.7207771132,-100933.89469630837,55551.31744234166,0.0,-6959.101908387093,-289.7601895277418
1871320.0279045573,-2059711.71100413,-139823.81601222864,55816.729185259,0.0,-6959.101908387093,-289.7601895277418
1850205.4862209707,-2072062.8164495209,-173029.31161751665,56076.88070894842,0.0,-6959.101908387093,-289.7601895277418
1833288.8840095568,-2085026.7770278535,-202654.87755916032,56331.87755705109,0.0,-6959.101908387093,-289.7601895277418
1819810.6089359003,-2097500.9211272933,-228357.35158082953,56581.82270847852,0.0,-6959.101908387093,-289.7601895277418
1809177.1552128335,-2109434.5574777205,-250679.44757014018,56826.81679266165,0.0,-6959.101908387093,-289.7601895277418
1800919.3018895225,-2120987.821822456,-270250.4237873076,57066.95824354084,0.0,-6959.101908387093,-289.7601895277418
1794658.2269271591,-2133014.1722913194,-288302.46404881193,57302.34341326325,0.0,-6959.101908387093,-289.7601895277418
1790088.223414505,-2144482.2830906953,-304109.8551148124,57533.06665929296,0.0,-6959.101908387093,-289.7601895277418
1786963.5903979612,-2155234.604695301,-317760.6559813599,57759.220413894676,0.0,-6959.101908387093,-289.7601895277418
1907518.0158719926,-2014728.6393198047,-56478.590303876175,57980.89524185069,0.0,-6959.101908387093,-289.7601895277418
1878842.0713804,-2026724.4543935067,-96933.06522077603,58198.1798902456,0.0,-6959.101908387096,-289.7601895277419
1855564.614824759,-2037936.067488446,-131209.15342877305,58411.16133282851,0.0,-6959.101908387096,-289.7601895277419
1836699.5226319493,-2049716.5084661173,-161645.9231214846,58619.92481059815,0.0,-6959.101908387096,-289.7601895277419
1821474.5438063655,-2060793.618985593,-187743.38340745264,58824.55386968982,0.0,-6959.101908387096,-289.7601895277419
1809276.2289539077,-2072284.575222261,-211232.07796899366,59025.13039727432,0.0,-6959.101908387096,-289.7601895277419
1799619.7560257553,-2083790.487386606,-232197.85880282798,59221.73465593722,0.0,-6959.101908387096,-289.7601895277419
1792114.3229721768,-2095356.374528378,-251076.46833726708,59414.445316848934,0.0,-6959.101908387096,-289.7601895277419
1786436.1807248758,-2106502.3506226335,-267711.6925037404,59603.33949193239,0.0,-6959.101908387096,-289.7601895277419
1782320.5928760332,-2117342.3057300854,-282482.08218679915,59788.4927651681,0.0,-6959.101908387096,-289.7601895277419
1896858.6378620677,-1982258.7110708796,-32678.956083595072,59969.97922313185,0.0,-6959.101908387096,-289.7601895277419
1868328.6750148816,-1994256.059652047,-73028.375250249,60147.87148483121,0.0,-6959.101908387101,-289.76018952774206
1845149.4220885432,-2006010.6178464845,-107787.81712496799,60322.24073088829,0.0,-6959.101908387101,-289.76018952774206
1826355.36080596,-2016304.7655285508,-136705.1100884026,60493.15673210329,0.0,-6959.101908387101,-289.76018952774206
1811179.980246438,-2027250.0262076894,-162658.22018174076,60660.6878774257,0.0,-6959.101908387101,-289.76018952774206
1799030.3784983687,-2039304.0009161262,-186697.5833143185,60824.90120135372,0.0,-6959.101908387101,-289.76018952774206
1789436.3303951272,-2051155.686634151,-207982.35592615895,60985.862410779846,0.0,-6959.101908387101,-289.76018952774206
1782010.3121651073,-2063063.2490885144,-227158.16311002476,61143.63591129713,0.0,-6959.101908387101,-289.76018952774206
1776435.0595573934,-2074835.1493892276,-244350.66709676932,61298.28483297963,0.0,-6959.101908387101,-289.76018952774206
1772449.7463632345,-2085989.4421290953,-259338.68680812643,61449.871055649084,0.0,-6959.101908387101,-289.76018952774206
1882392.0035880741,-1956957.46729513,-20215.870571331543,61598.45523363909,0.0,-6959.101908387101,-289.76018952774206
1854823.5098940523,-1969217.4767121978,-59898.73209599277,61744.096820067556,0.0,-6959.101908387093,-289.7601895277418
1832471.9825738843,-1980762.7309244378,-93652.75635784092,61886.85409062745,0.0,-6959.101908387093,-289.7601895277418
1814405.0935105903,-1992590.8795756355,-123407.86399605435,62026.78416690586,0.0,-6959.101908387093,-289.7601895277418
1799894.4140440258,-2004663.4030085779,-149853.9080232258,62163.943039240956,0.0,-6959.101908387093,-289.7601895277418
1788366.4717738698,-2016963.3746808365,-173547.37941575545,62298.38558912583,0.0,-6959.101908387093,-289.7601895277418
1779364.8697153272,-2029686.8968764185,-195140.72364783759,62430.165611168624,0.0,-6959.101908387093,-289.7601895277418
1772511.9686270028,-2041591.2127517257,-213768.77038802017,62559.33583461772,0.0,-6959.101908387093,-289.7601895277418
1767493.8011798416,-2053283.8941736834,-230353.0071472962,62685.94794446032,0.0,-6959.101908387093,-289.7601895277418
1764045.7684335606,-2063938.2717292411,-244331.3127914919,62810.05260210344,0.0,-6959.101908387093,-289.7601895277418
1888656.1837269606,-1926259.7857249468,18079.235369744027,62931.69946564505,0.0,-6959.101908387093,-289.7601895277418
1859228.926012828,-1938256.3373136339,-23225.336188976788,63050.93720974391,0.0,-6959.101908387096,-289.7601895277419
1835353.686400712,-1951131.899940283,-59859.26209239009,63167.81354509578,0.0,-6959.101908387096,-289.7601895277419
1816017.028412895,-1962862.8452090696,-90812.30365656514,63282.37523752403,0.0,-6959.101908387096,-289.7601895277419
1800438.6014061891,-1973871.753360426,-117287.34592545965,63394.66812669203,0.0,-6959.101908387096,-289.7601895277419
