Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-471812.0350784006,35273.19925736784,0.0,-6627.706490322575,-275.9616850064514
1606482.2789892564,-2112336.1832102737,-474399.4129538808,38358.15944246585,0.0,-6627.706490322575,-275.9616850064514
1617333.0696080052,-2127450.148186882,-476499.2631171067,40521.483637099096,0.0,-6627.706490322575,-275.9616850064514
1628126.27130303,-2142533.651920808,-479231.3839668668,42079.66482624044,0.0,-6627.706490322575,-275.9616850064514
1638847.0779621457,-2157405.8360304483,-482222.86049674154,43239.5657468902,0.0,-6627.706490322575,-275.9616850064514
1649487.7128556406,-2172224.09227385,-485503.63490273274,44136.41269080576,0.0,-6627.706490322575,-275.9616850064514
1660035.8722198664,-2186853.5155790495,-488862.6898532072,44858.62168130481,0.0,-6627.706490322575,-275.9616850064514
1670481.2589194207,-2200460.441727845,-491418.83040866803,45464.02057508535,0.0,-6627.706490322575,-275.9616850064514
1680816.6558127305,-2212473.815667133,-492570.37899595156,45990.449033780045,0.0,-6627.706490322575,-275.9616850064514
1758293.2357789173,-2150008.478103037,-352156.2256527647,46462.68484668422,0.0,-6627.706490322575,-275.9616850064514
1752398.0359981603,-2167157.0858837715,-376765.4133479711,44552.12130420253,0.0,-6296.32116580645,-262.163600756129
1749313.9816356131,-2183359.8784452146,-395665.61294007103,44938.76863609287,0.0,-6296.32116580645,-262.163600756129
1748395.9159321955,-2198530.605523001,-411387.0157371738,45306.15862019394,0.0,-6296.32116580645,-262.163600756129
1749172.6877840357,-2213807.2729454744,-425534.37700509414,45658.69292290722,0.0,-6296.32116580645,-262.163600756129
1751285.5129865988,-2227367.410710938,-436641.08977808885,45999.292712812916,0.0,-6296.32116580645,-262.163600756129
1754457.0640533424,-2240440.0063050324,-446211.51614739595,46329.91087085673,0.0,-6296.32116580645,-262.163600756129
1758476.6270171287,-2254226.1585989506,-455656.14964872063,46651.86669966368,0.0,-6296.32116580645,-262.163600756129
1763180.0848249164,-2266742.1992959054,-463154.5345888068,46966.06464874451,0.0,-6296.32116580645,-262.163600756129
1768430.2962925837,-2279239.55496912,-470094.60619081836,47273.13725228056,0.0,-6296.32116580645,-262.163600756129
1841621.8148073533,-2208691.2119992496,-326054.34341338876,47573.538545069976,0.0,-6296.32116580645,-262.163600756129
1831560.4679080998,-2223952.5855005435,-351082.9972397388,47867.60511926736,0.0,-6296.321165806448,-262.16360075612886
1824701.0677294491,-2239506.5380570684,-373208.3590577412,48155.59603644079,0.0,-6296.321165806448,-262.16360075612886
1820358.0034315973,-2254203.5862279264,-391966.34864007303,48437.71892281848,0.0,-6296.321165806448,-262.16360075612886
1818021.070042874,-2268011.269152331,-407834.53684006346,48714.147035956405,0.0,-6296.321165806448,-262.16360075612886
1817293.470057055,-2280673.115670705,-420953.0999486225,48985.03043159032,0.0,-6296.321165806448,-262.16360075612886
1817869.0177423498,-2292934.3386438033,-432373.3023929215,49250.50327509439,0.0,-6296.321165806448,-262.16360075612886
