Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
1595595.806515133,-2095777.3726755723,-471812.0350784006,35273.199257367865,0.0,-6627.706490322578,-275.9616850064515
1606482.2789892564,-2112336.1832102737,-474399.4129538808,38358.15944246587,0.0,-6627.706490322578,-275.9616850064515
1617333.0696080052,-2127450.148186882,-476499.2631171067,40521.48363709912,0.0,-6627.706490322578,-275.9616850064515
1628126.27130303,-2142533.651920808,-479231.3839668668,42079.66482624046,0.0,-6627.706490322578,-275.9616850064515
1638847.0779621457,-2157405.8360304483,-482222.86049674154,43239.56574689021,0.0,-6627.706490322578,-275.9616850064515
1649487.7128556406,-2172224.09227385,-485503.6349027327,44136.41269080578,0.0,-6627.706490322578,-275.9616850064515
1660035.8722198664,-2186853.5155790495,-488862.6898532072,44858.62168130483,0.0,-6627.706490322578,-275.9616850064515
1670481.2589194207,-2200460.441727845,-491418.83040866803,45464.02057508536,0.0,-6627.706490322578,-275.9616850064515
1680816.6558127305,-2212473.815667133,-492570.37899595156,45990.44903378005,0.0,-6627.706490322578,-275.9616850064515
1755492.607270785,-2153536.058469746,-358484.4345276055,46462.684846684235,0.0,-6627.706490322578,-275.9616850064515
1750379.4788020405,-2170508.1418749597,-382135.0265352791,44552.12130420254,0.0,-6296.321165806451,-262.16360075612903
1747928.7462441847,-2186502.0772289573,-400193.04711524205,44938.768636092886,0.0,-6296.321165806451,-262.16360075612903
1747526.145293302,-2201486.786071617,-415212.96692468383,45306.15862019396,0.0,-6296.321165806451,-262.16360075612903
1748723.464910725,-2216591.3353786822,-428767.66231161257,45658.69292290722,0.0,-6296.321165806451,-262.16360075612903
1751179.3347179387,-2229982.317412457,-439362.17474826786,45999.29271281292,0.0,-6296.321165806451,-262.16360075612903
1754629.804271142,-2242883.4454310043,-448482.2150555679,46329.910870856744,0.0,-6296.321165806451,-262.16360075612903
1758874.4518608297,-2256535.4365620282,-457567.60276809725,46651.86669966368,0.0,-6296.321165806451,-262.16360075612903
1763757.1932480552,-2268901.003421373,-464736.2302911363,46966.06464874451,0.0,-6296.321165806451,-262.16360075612903
1769150.4720795806,-2281244.711576379,-471379.5870110802,47273.13725228058,0.0,-6296.321165806451,-262.16360075612903
1843361.5346100554,-2210099.646346376,-325723.0579578132,47573.53854506999,0.0,-6296.321165806451,-262.16360075612903
1833652.1960670701,-2223847.3599563874,-348886.04353661236,47867.60511926735,0.0,-6296.321165806452,-262.1636007561291
1826911.5789156624,-2238005.360501841,-369496.6703163005,48155.59603644077,0.0,-6296.321165806452,-262.1636007561291
1822536.1372748872,-2251461.749094893,-387046.37766375,48437.718922818465,0.0,-6296.321165806452,-262.1636007561291
1820064.8044084455,-2264255.796883551,-402035.33020571165,48714.1470359564,0.0,-6296.321165806452,-262.1636007561291
1819133.7462615874,-2276050.6285067024,-414490.3365800873,48985.030431590305,0.0,-6296.321165806452,-262.1636007561291
1819459.7815728898,-2287494.3305520304,-425342.5304706089,49250.50327509437,0.0,-6296.321165806452,-262.1636007561291
1820822.208095492,-2299344.366085321,-435569.95412295935,49510.68863343217,0.0,-6296.321165806452,-262.1636007561291
1823043.9751727213,-2310595.9458080796,-444344.7537814124,49765.70162050836,0.0,-6296.321165806452,-262.1636007561291
1825981.8781913905,-2321543.8730374444,-452104.8281463076,50015.651466308846,0.0,-6296.321165806452,-262.1636007561291
1898546.162531753,-2251664.9477500226,-309416.62710229174,50260.64288254034,0.0,-6296.321165806452,-262.1636007561291
1886782.0377318412,-2263439.066582893,-332714.73664929916,50500.77696831516,0.0,-6296.321165806452,-262.1636007561291
1878156.597744853,-2274861.3417302473,-352527.0769369321,50736.15181502468,0.0,-6296.321165806452,-262.1636007561291
1872030.9500428238,-2286797.703817497,-370358.3756268396,50966.86291439624,0.0,-6296.321165806452,-262.1636007561291
1867925.345883983,-2297999.2305915724,-385439.36603646126,51193.00343769085,0.0,-6296.321165806452,-262.1636007561291
1865466.6660138268,-2308410.5940558775,-398087.748378161,51414.66443045208,0.0,-6296.321165806452,-262.1636007561291
1864361.6924143585,-2318227.2417744906,-408792.09917486465,51631.93495183012,0.0,-6296.321165806452,-262.1636007561291
1864380.7721415316,-2328335.4560639383,-418668.2665115186,51844.902177450684,0.0,-6296.321165806452,-262.1636007561291
1865339.774614284,-2337902.7387960996,-427067.7974701488,52053.65147822896,0.0,-6296.321165806452,-262.1636007561291
1867090.2851270947,-2346471.6665501455,-433681.59970637795,52258.266483235464,0.0,-6296.321165806452,-262.1636007561291
1938030.447577787,-2275123.269465695,-291192.4775225543,52458.829131916296,0.0,-6296.321165806452,-262.1636007561291
1925247.1043218765,-2286101.9320749096,-314757.8928004595,52655.41971913628,0.0,-6296.321165806448,-262.16360075612886
1915674.3262238542,-2296276.8847907744,-334312.92639816675,52848.11693531622,0.0,-6296.321165806448,-262.16360075612886
1908669.2244366216,-2305798.6344563034,-350650.89688309166,53036.997903152645,0.0,-6296.321165806448,-262.16360075612886
1903728.3486104219,-2314886.6551105087,-364494.6530547529,53222.13821189639,0.0,-6296.321165806448,-262.16360075612886
1900475.25340423,-2324287.1672621514,-376966.7866746511,53403.611949832615,0.0,-6296.321165806448,-262.16360075612886
1898620.9561032685,-2333423.1013801545,-387779.1383080625,53581.49173538585,0.0,-6296.321165806448,-262.16360075612886
1897953.6028798826,-2341909.0964181563,-396758.12955770525,53755.848747130796,0.0,-6296.321165806448,-262.16360075612886
1898279.2283643498,-2349697.8283895315,-404050.3320388478,53926.75275289656,0.0,-6296.321165806448,-262.16360075612886
1899423.802961061,-2357331.539177973,-410371.9488453845,54094.27213809012,0.0,-6296.321165806448,-262.16360075612886
1967006.112328719,-2287815.652069104,-273109.55057362193,54258.47393332568,0.0,-6296.321165806448,-262.16360075612886
1954689.3065490725,-2297155.506015992,-294605.2603920623,54419.42384141955,0.0,-6296.321165806448,-262.16360075612886
1945264.4822938133,-2305884.3276520995,-312601.1438610551,54577.18626379357,0.0,-6296.321165806448,-262.16360075612886
1938212.452625702,-2314052.1939317645,-327666.4017463069,54731.82432631831,0.0,-6296.321165806448,-262.16360075612886
1933119.0313353655,-2322016.3916080957,-340572.4451346727,54883.39990462016,0.0,-6296.321165806448,-262.16360075612886
1929646.6485983282,-2330629.814271823,-352509.67679118586,55031.973648871455,0.0,-6296.321165806448,-262.16360075612886
1927531.8802733766,-2339101.1896933643,-362950.18917847093,55177.60500807918,0.0,-6296.321165806448,-262.16360075612886
1926563.176137534,-2347273.6683497955,-371948.6247249383,55320.35225388588,0.0,-6296.321165806448,-262.16360075612886
1926564.4204844232,-2355295.502552548,-379829.2943307925,55460.27250389473,0.0,-6296.321165806448,-262.16360075612886
1927391.9941897374,-2363034.7779747187,-386603.8468070141,55597.42174452995,0.0,-6296.321165806448,-262.16360075612886
1990209.4265761469,-2288433.509861432,-249050.71319840552,55731.85485344231,0.0,-6296.321165806448,-262.16360075612886
1977396.0228892062,-2298623.8798301355,-271922.71608602174,55863.62562147,0.0,-6296.32116580645,-262.163600756129
1967677.0470512784,-2308320.414349423,-291209.06529054337,55992.78677416351,0.0,-6296.32116580645,-262.163600756129
1960508.0123622876,-2316650.2195081315,-306581.3019195226,56119.389992883865,0.0,-6296.32116580645,-262.163600756129
1955434.2704896217,-2325218.079984638,-320098.80832609616,56243.48593548255,0.0,-6296.32116580645,-262.163600756129
1952083.8822695438,-2334628.94787548,-332738.42611592705,56365.12425657178,0.0,-6296.32116580645,-262.163600756129
1950163.2800614226,-2344078.7853582245,-343989.6364359715,56484.35362739312,0.0,-6296.32116580645,-262.163600756129
1949432.3513287536,-2352211.8406293876,-352736.7523119038,56601.221755292536,0.0,-6296.32116580645,-262.163600756129
1949693.7706446538,-2361096.5667558797,-361245.5054749785,56715.7754028097,0.0,-6296.32116580645,-262.163600756129
1950796.7397230566,-2369193.4572697654,-368127.14190688217,56828.060406389224,0.0,-6296.32116580645,-262.163600756129
2014570.7471566342,-2298559.2036741287,-233608.81958933576,56938.12169472125,0.0,-6296.32116580645,-262.163600756129
2002096.8220565205,-2308362.9712415016,-255778.63064482508,57046.00330671891,0.0,-6296.32116580645,-262.163600756129
1992704.2835983392,-2318469.4142693877,-275171.86702847166,57151.74840913953,0.0,-6296.32116580645,-262.163600756129
1985838.29733382,-2325968.9954885812,-289433.7836074665,57255.39931385717,0.0,-6296.32116580645,-262.163600756129
1981043.007747431,-2333764.56570718,-301923.0452315187,57356.99749479283,0.0,-6296.32116580645,-262.163600756129
1977964.1096560098,-2343577.38465475,-314715.17616079334,57456.583604509426,0.0,-6296.32116580645,-262.163600756129
1976308.830386646,-2352963.60952322,-325659.06641265826,57554.19749047819,0.0,-6296.32116580645,-262.163600756129
1975826.7781454036,-2361503.873283466,-334585.7016936022,57649.87821102287,0.0,-6296.32116580645,-262.163600756129
1976310.6190487086,-2369991.677238451,-342495.8789053566,57743.664050948115,0.0,-6296.32116580645,-262.163600756129
1977610.9538024247,-2377547.9480682923,-348659.8864955718,57835.59253685849,0.0,-6296.32116580645,-262.163600756129
2041092.941087752,-2316887.262606928,-224427.10583356468,57925.700452173936,0.0,-6296.32116580645,-262.163600756129
2029215.3313230788,-2329302.723819821,-248631.853411457,58014.02385184805,0.0,-6296.321165806451,-262.16360075612903
2020566.0446548264,-2340076.8037946625,-267968.64582960395,58100.59807679468,0.0,-6296.321165806451,-262.16360075612903
2014452.177812403,-2349771.854499597,-283692.7036857276,58185.45776802899,0.0,-6296.321165806451,-262.16360075612903
2010362.965317736,-2358651.841608328,-296578.7241766259,58268.63688052839,0.0,-6296.321165806451,-262.16360075612903
2007913.5890522378,-2368190.393196639,-308485.12021414493,58350.1686968189,0.0,-6296.321165806451,-262.16360075612903
2006802.7100770208,-2377080.9191111587,-318406.60796040785,58430.08584029263,0.0,-6296.321165806451,-262.16360075612903
2006792.2970814516,-2384503.7086619097,-325761.4760587591,58508.420288261295,0.0,-6296.321165806451,-262.16360075612903
2007693.8835071288,-2392671.862545981,-332951.26042066334,58585.203384751396,0.0,-6296.321165806451,-262.16360075612903
2009354.244669688,-2400021.6351614413,-338565.40940526995,58660.465853045855,0.0,-6296.321165806451,-262.16360075612903
2074991.6283287166,-2342473.93958949,-215306.5582193588,58734.23780797745,0.0,-6296.321165806451,-262.16360075612903
2063447.8712628772,-2352213.140560677,-236517.20529638362,58806.54876797861,0.0,-6296.32116580645,-262.163600756129
