Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27272765.68529683,10571.710799999997
7409068.608032173,19991085.522161298,27420481.030908175,20326.900714703166
7540872.334331541,19998404.63547435,27568798.158583462,29521.188777570333
7672226.467124167,20007343.424668394,27717892.036961243,38322.145168686
7803180.814584098,20017814.19304527,27867834.80351842,46839.79588904871
7933803.123650948,20029756.35109248,28018706.030276354,55146.555532929626
8064141.94690854,20043095.066932846,28170527.265937485,63290.25209609863
8194018.320522482,20057758.470448475,28323079.42890468,71302.63793372235
8323091.836063607,20073682.36214037,28475979.149449177,79204.95124520417
8140713.382518929,20248177.218337722,28475902.151148118,87011.55029146874
8270483.525467385,20243819.523182068,28604298.722516254,89995.67386679965
8399915.7075087,20243324.61378137,28740495.683392256,97255.36210218527
8528946.018915588,20246185.367487352,28879576.13722562,104444.75082268177
8657751.008846808,20252010.126141757,29021328.476352815,111567.34136425078
8786007.514895042,20260476.214704383,29165109.5643593,118625.83475987193
8913709.900043156,20271313.185382202,29310645.486346323,125622.40092096476
9041147.68802274,20284306.26504346,29458012.807755888,132558.854689686
9168077.933655556,20299277.3043089,29606792.008999445,139436.7710349878
9294591.489675755,20316064.145605862,29756913.19576207,146257.56048045668
9118994.115931151,20485547.790194523,29757564.424669135,153022.51854346448
9245657.372055264,20483689.85393942,29889080.08418429,159732.85818960136
9372102.919738904,20486018.45007717,30024511.101001956,166389.7311858843
9498267.691676753,20491980.599353395,30163242.533227373,172994.24219722662
9624062.250652993,20501140.43964089,30304750.148432203,179547.4581383184
9749309.159205453,20513137.721273605,30448497.294901535,186050.41442247608
9874009.802894084,20527682.585737884,30594196.507812124,192504.11918015484
9998340.921902917,20544538.265466984,30741788.743518006,198909.55614810556
10122204.50841714,20563500.86247448,30890973.057578888,205267.68668726762
10245544.942779455,20584399.846403673,31041524.240411907,211579.45122877948
10068154.630531682,20762790.558736064,31048790.959611528,217845.77034378212
10189295.297602478,20765576.750381302,31178939.593548704,224067.5455649246
10309766.501833051,20772236.05158959,31312248.21346584,230245.66004319882
10429814.029641468,20782312.407865085,31448507.416601356,236380.97909479862
10549325.296425378,20795429.38520719,31587229.032306354,242474.35067378546
10668170.401535109,20811268.969196644,31727965.976525743,248526.6057939914
10786269.056630434,20829560.79023836,31870368.40578431,254538.55891551345
10903766.783753376,20850080.929904826,32014358.72196408,260511.0083058759
11020569.770330478,20872635.357570127,32159649.864283092,266444.73638248915
11136451.220291724,20897054.02993021,32305845.760262713,272340.51004077913
10946185.790873302,21082155.991983324,32306540.863827515,278199.080970886
11059843.09549055,21088250.77671849,32432115.05817391,284021.18596486904
11172640.080633169,21098214.874684166,32560662.502533056,289807.5472157212
11284657.189653335,21111566.903081503,32691782.965343922,295558.8726090863
11395838.740198856,21127899.099333707,32825013.69554086,301275.8560082991
11506253.557020055,21146892.26106198,32960104.995615233,306959.177533195
11615861.477801286,21168280.830602933,33096751.81223723,312609.5038330115
11724602.37581576,21191851.898198463,33234681.76236786,318227.48835363664
11832424.526609339,21217399.813741036,33373638.11194977,323813.7715993989
11939201.056093113,21244735.455869645,33513305.493352324,329368.9813895675
11743391.287162492,21420679.36312709,33498964.383399285,334893.7331097008
11849919.909184277,21429136.12462221,33619444.66376446,340388.62995797314
11955597.480917593,21441766.98684688,33743218.73095106,345854.263186592
12060133.98281658,21458015.190057553,33869440.38521255,351291.21233841573
12163658.748012599,21477412.230528336,33997771.02401981,356700.0454788712
12266412.676550217,21499559.54681092,34128053.542784415,362081.31942327175
12368374.809417725,21524127.93439585,34259938.3237732,367435.5799596267
12469475.54739811,21550876.001240846,34393114.91070599,372763.3620670348
12569730.636022773,21579589.423448324,34527385.24960084,378065.19012975076
12669104.382412542,21610077.419061463,34662523.379621014,383341.57814701047
12466472.712564591,21785176.88998726,34640242.632490546,388593.0299387002
12565838.607391829,21796916.735560454,34756575.38229923,393820.03934695147
12664381.280103594,21812841.112939183,34876245.48347653,399023.090433743
12762180.07144041,21832366.270504795,34998748.9996198,404202.6576745903
12859168.703020062,21855044.882990614,35123572.79215907,409359.2061483975
12955316.282628708,21880476.75428172,35250286.22863398,414493.19172355044
13050713.707174215,21908313.175226297,35378631.943640836,419605.0612403234
13144941.393483592,21938298.46116882,35507935.10734209,424695.2526896744
13238234.34047792,21970197.540328022,35638196.076194435,429764.19538849825
13330573.528836057,22003800.22970498,35769186.068692446,434812.3101514099
13124467.37432171,22191894.118729036,35756201.50250987,439840.00945912517
13215664.340569511,22206584.05485095,35867096.09304397,444847.69762350735
13305913.271730814,22225262.392560065,35981011.43524022,449835.7709493446
13394968.856211092,22247325.253360096,36097098.72746411,454804.61789292353
13482877.336628946,22272282.886595502,36214914.84244191,459754.6192174629
13569849.527635869,22299776.282543696,36334311.958325036,464686.14814546844
13655870.743243914,22329498.948603943,36454969.26235593,469599.570508071
13740731.719341144,22361194.39769184,36576421.36192439,474495.24489140656
13824435.396530004,22394642.714391693,36698451.633701794,479373.52278009756
13906923.312627485,22429643.580213215,36820801.64153859,484234.74869789317
13696610.431848474,22618433.031730298,36804122.7239243,489079.26034552313
13778177.055192595,22634366.14871575,36906450.59264417,493907.38873582304
13858639.39599474,22654162.26191649,37011521.11623741,498719.45832618227
13937682.486934125,22677235.553309385,37118433.827391885,503515.78714836924
14015325.272883056,22703080.993503746,37226702.95332259,508296.6869357865
14092017.847664285,22731313.424643546,37336393.735556036,513062.4632482038
14167782.74356437,22761633.42027971,37447229.579438105,517813.4155940228
14242414.785738762,22793790.836960334,37558755.460249215,522549.8375501193
14316043.202087983,22827579.81190826,37670895.030875556,527272.0168793125
14388565.309995439,22862808.922457874,37783354.46809882,531980.2356455073
14066685.350223739,23093476.074961033,37696836.195511326,536674.7703265579
14135942.402650777,23106059.37213754,37783357.666713215,541355.8919248935
14204161.336166862,23122211.510545887,37872396.71278871,546023.8660759561
14270743.080110058,23141425.86958285,37962847.9028474,550678.953154489
14335875.522339966,23163259.893853527,38054456.82457221,555321.4083787203
14400010.023594202,23187383.783854797,38147345.289361484,559951.4819124843
14463213.880582908,23213530.81759451,38241314.11714274,564569.418965319
14525286.140982226,23241468.624904,38335930.22577681,569175.4598905827
14586081.494145993,23270985.518914826,38430836.85334245,573769.8402816264
14644859.395213194,23301880.59412043,38525092.78039969,578352.7910660622
14371807.32922524,23507396.93367973,38462128.80150314,582924.5385981642
