Biomass,DOM,Total Ecosystem,HWP
7144076.781995574,19981704.038093865,27125780.820089437,0.0
7276708.09789245,19985485.876604382,27272765.68529683,10571.710799999997
7409068.608032173,19991085.522161298,27420481.030908175,20326.900714703173
7540872.334331541,19998404.63547435,27568798.158583462,29521.188777570344
7672226.467124167,20007343.424668394,27717892.036961243,38322.14516868601
7803180.814584098,20017814.19304527,27867834.80351842,46839.79588904871
7933803.123650948,20029756.35109248,28018706.030276354,55146.55553292963
8064141.94690854,20043095.066932846,28170527.265937485,63290.25209609864
8194018.320522482,20057758.470448475,28323079.42890468,71302.63793372236
8323091.836063607,20073682.36214037,28475979.149449177,79204.95124520417
8170462.6594238635,20230563.29712028,28488037.506835613,87011.55029146875
8298999.908272773,20229645.90656281,28618641.488702383,89995.67386679965
8427167.97654762,20231992.804704465,28756416.14335427,97255.36210218527
8554913.431829264,20237218.71449969,28896576.897151634,104444.75082268176
8682418.99881731,20245017.7875835,29039004.12776506,111567.34136425078
8809371.869855622,20255132.499312367,29183130.203927863,118625.83475987193
8935771.716397239,20267343.575429376,29328737.692747578,125622.40092096475
9061922.562943706,20281478.600756496,29475960.018389888,132558.85468968598
9187572.97353074,20297393.618743524,29624403.363309253,139436.77103498776
9312806.684341565,20314955.51988542,29774019.764707442,146257.56048045668
9150475.921075167,20476866.230811216,29780364.670429844,153022.51854346445
9273675.34017484,20477573.29060777,29910981.48897221,159732.85818960136
9396685.65485037,20481819.956010472,30044895.342046726,166389.7311858843
9519432.47510142,20489199.74100399,30181626.45830264,172994.24219722662
9641852.138040975,20499377.506630626,30320777.102809917,179547.4581383184
9763781.455715569,20512061.883717466,30461893.753855508,186050.41442247608
9885199.09745204,20527014.87491614,30604718.091548335,192504.11918015484
10006302.10523484,20544047.223197855,30749258.884580802,198909.55614810556
10126993.788051574,20562993.89922552,30895255.373964366,205267.68668726762
10247207.988154616,20583713.995379414,31042501.434762806,211579.45122877948
10071106.01556253,20754338.00798296,31043289.793889273,217845.77034378212
10187945.545825468,20758133.740618013,31170146.832008407,224067.5455649246
10304167.567343006,20765476.676963646,31299889.90434985,230245.66004319882
10420024.660920056,20775956.603355825,31432362.24337068,236380.97909479862
10535428.495934125,20789238.79567664,31567141.642284553,242474.35067378546
10650259.238879347,20805043.557506133,31703829.40217947,248526.6057939914
10764420.160741884,20823133.436043207,31842092.155700605,254538.55891551345
10878069.611935858,20843310.30509178,31981890.925333515,260511.0083058759
10991131.273394689,20865402.030420195,32122978.040197372,266444.73638248915
11103408.246182198,20889255.88531741,32265004.641540386,272340.51004077913
10921151.556019662,21059197.514643975,32258548.151634526,278199.080970886
11030663.737000301,21066141.14392704,32380826.06689221,284021.18596486904
11139398.539513735,21076716.050117936,32505922.13684739,289807.5472157212
11247636.015536403,21090471.882742353,32633666.77088784,295558.8726090863
11355160.90700196,21107051.149477076,32763487.91248733,301275.8560082991
11462041.277798384,21126152.236125022,32895152.6914566,306959.177533195
11568249.548005763,21147523.83811189,33028382.889950663,312609.5038330115
11673732.774496747,21170965.147548504,33162925.410398886,318227.48835363664
11778484.597946892,21196288.538413934,33298586.90796023,323813.7715993989
11882403.60261278,21223324.05333852,33435096.63734087,329368.9813895675
11701145.717180198,21393098.268943515,33429137.719233412,334893.7331097008
11801514.22027435,21404348.201987132,33557648.29712416,351785.874862681
11901033.831594162,21418903.632011913,33677371.977694005,357434.5140879268
11999663.826179173,21436358.801342953,33799076.13632851,363053.5088063881
12097427.877187291,21456386.953905955,33922458.277197294,368643.44610404794
12194464.730300197,21478723.23120722,34047392.8629475,374204.90144008683
12290765.91118808,21503141.801244143,34173646.15130937,379738.4388771537
12386318.104689192,21529452.00818536,34301014.72418162,385244.61130707205
12481153.527643908,21557487.713719983,34429365.20203596,390723.9606720738
12575145.47589872,21587101.45650003,34558423.9505804,396177.0181816501
12385448.00343094,21758293.140973724,34545345.44892977,401604.30452510656
12476685.16299892,21771924.082573537,34642429.2849194,393820.03934695147
12567053.564121237,21788772.379763655,34754849.03431864,399023.0904337431
12656527.220557073,21808428.75666277,34869158.63489443,404202.65767459036
12745097.006701997,21830565.65492069,34985021.86777108,409359.2061483976
12832855.839174932,21854922.344545215,35102271.3754437,414493.19172355044
12919909.951008849,21881267.780485943,35220782.792735115,419605.06124032347
13005975.623753978,21909406.607938215,35340077.48438187,424695.25268967444
13091303.420607679,21939169.51651113,35460237.13250731,429764.1953884983
13175632.651069,21970404.516923696,35580849.47814411,434812.3101514099
12976997.409953238,22143106.017707177,35559943.437119536,439840.00945912517
13058568.91629021,22158106.314575028,35708349.0019228,491673.7710575607
13139306.474164955,22176213.629493177,35812707.00839162,497186.90473348607
13218904.638391232,22197015.72865459,35918599.15524327,502678.7881974416
13297282.378758779,22220178.270950817,36025610.492002584,508149.84229298506
13374911.841411654,22245450.81731801,36133963.13825887,513600.47952920187
13451776.035627725,22272609.100341063,36243416.24021455,519031.1042457626
13527761.453729494,22301459.22582478,36353662.79232899,524442.1127747123
13602918.06509239,22331842.019880448,36464593.97857189,529833.893599055
13677034.303534327,22363607.29795947,36575848.429001994,535206.8275081974
13461457.305825358,22537112.13041266,36539130.72398833,540561.2877503148
13534173.002627777,22552246.898600664,36602707.645427816,516287.74419937155
13605992.728637291,22570499.99848243,36697810.58953639,521317.8624166671
13676886.411036849,22591464.378669612,36794682.31631306,526331.5266065947
13746840.052705254,22614803.004449297,36892972.11978264,531329.0626280877
13816095.383285394,22640247.246396843,36992653.41956894,536310.7898867029
13884658.098678375,22667561.21415095,37093496.33429175,541277.0214624236
13952289.153681487,22696539.86200417,37195057.07992059,546228.0642349329
14018994.899459736,22727014.08398423,37297173.20245037,551164.2190064058
14084560.726616818,22758823.317938484,37399469.82517717,556085.7806218691
13843430.842389937,22943175.063807305,37347598.944284424,560993.0380871783
13907167.184085937,22957607.862455573,37407005.31979633,542230.2732548208
13970191.787732385,22975061.491213765,37492159.065919824,546905.7869736748
14032217.75007088,22995149.048924472,37578935.19180055,551568.3928051969
14093336.693438139,23017541.307964914,37667096.347782895,556218.3463798362
14153756.071957681,23041967.259996206,37756579.23021937,560855.8982654838
14213495.591528995,23068213.126815118,37847190.01241185,565481.2940677326
14272345.784842255,23096079.839429844,37938520.398800254,570094.7745281524
14330308.424625378,23125402.66095241,38030407.6611984,574696.5756206174
14387225.753469683,23156032.14268249,38122544.8247979,579286.9286457263
14162418.471512167,23326387.28843351,38072671.82026903,583866.060323354
