Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-335795.25051230495,10977.645545266245,0.0,-2062.6598709677432,-85.88417341935488
3229576.246178158,-3619168.7588631874,-379803.31683075265,11937.739898663778,0.0,-2062.6598709677432,-85.88417341935488
3218747.764490371,-3646258.6057236553,-417048.38050062495,12611.004777046528,0.0,-2062.6598709677432,-85.88417341935488
3211482.199131155,-3674964.254385618,-452534.6608852237,13095.938413626778,0.0,-2062.6598709677432,-85.88417341935488
3206944.278738542,-3704786.043744383,-486533.3888872108,13456.920163017183,0.0,-2062.6598709677432,-85.88417341935488
3204543.8408506536,-3733601.7978472067,-517470.46619408554,13736.034846854765,0.0,-2062.6598709677432,-85.88417341935488
3203863.3476038114,-3760285.259473598,-544609.6568136018,13960.799100572041,0.0,-2062.6598709677432,-85.88417341935488
3204609.2748431168,-3788349.8363480223,-571739.8955699417,14149.209979350806,0.0,-2062.6598709677432,-85.88417341935488
3206571.424589799,-3814915.432166111,-596179.5077633292,14313.043857370361,0.0,-2062.6598709677432,-85.88417341935488
3223740.328157582,-3824136.88227737,-588085.0861418246,14460.012022350744,0.0,-2062.6598709677432,-85.88417341935488
3224176.402970331,-3853039.752895344,-617039.0560229294,13865.410744251732,0.0,-1959.5268774193555,-81.5899647483871
3226166.805130019,-3880472.4848953555,-642361.054352364,13985.742255140372,0.0,-1959.5268774193555,-81.5899647483871
3229475.1085749944,-3904521.6723919297,-662987.6001214352,14100.08053766801,0.0,-1959.5268774193555,-81.5899647483871
3233924.3273738767,-3928704.1219517924,-682611.115951555,14209.79546852803,0.0,-1959.5268774193555,-81.5899647483871
3239381.8910138533,-3954779.11376272,-703122.5434238141,14315.796167219854,0.0,-1959.5268774193555,-81.5899647483871
3245748.640942504,-3982220.233006653,-724094.0185013682,14418.690404948396,0.0,-1959.5268774193555,-81.5899647483871
3252932.5012396513,-4003446.2207360007,-738035.9475664147,14518.888772102084,0.0,-1959.5268774193555,-81.5899647483871
3260825.296955514,-4021983.7631728724,-748582.9103101077,14616.672749418474,0.0,-1959.5268774193555,-81.5899647483871
3269347.517316326,-4047750.8865368213,-765732.2468699034,14712.239192759362,0.0,-1959.5268774193555,-81.5899647483871
3292406.773653072,-4055926.2491954872,-750754.8629787723,14805.729405810933,0.0,-1959.5268774193555,-81.5899647483871
3298638.749183378,-4080787.435227524,-769292.5547442889,14897.248142024664,0.0,-1959.5268774193548,-81.5899647483871
3305997.398654271,-4104634.1396903996,-785690.9818523389,14986.876025957694,0.0,-1959.5268774193548,-81.5899647483871
3314308.4388204077,-4125758.7094984693,-798416.7098456529,15074.677674576647,0.0,-1959.5268774193548,-81.5899647483871
3323434.629326639,-4147042.7646126337,-810488.5451194546,15160.70700870746,0.0,-1959.5268774193548,-81.5899647483871
3333270.504063244,-4168833.660249597,-822359.2623001629,15245.0107283579,0.0,-1959.5268774193548,-81.5899647483871
3343716.8382060793,-4191144.18229338,-834140.8303412952,15327.630588173222,0.0,-1959.5268774193548,-81.5899647483871
3354698.527904976,-4211516.584835004,-843450.5688834192,15408.604888776352,0.0,-1959.5268774193548,-81.5899647483871
3366147.712618911,-4231842.709489111,-852248.1442567103,15487.96945565718,0.0,-1959.5268774193548,-81.5899647483871
3378006.5905834357,-4252651.523969161,-861120.291944768,15565.75828312563,0.0,-1959.5268774193548,-81.5899647483871
3404266.276967639,-4255438.365480938,-837571.2013961434,15642.003959322987,0.0,-1959.5268774193548,-81.5899647483871
3413298.6611396666,-4273169.939772025,-846195.6575264388,15716.73794808704,0.0,-1959.5268774193555,-81.5899647483871
3423232.6489273775,-4294722.795551862,-857741.2726894526,15789.990777199464,0.0,-1959.5268774193555,-81.5899647483871
3433866.95130958,-4314409.857944439,-866722.2313116473,15861.792165380344,0.0,-1959.5268774193555,-81.5899647483871
3445021.531346452,-4303456.402484784,-844543.8168713207,15932.171109179459,0.0,-1959.5268774193555,-81.5899647483871
3456585.3454914535,-4320935.910058935,-850390.5254660636,16001.155943585607,0.0,-1959.5268774193555,-81.5899647483871
3468503.6543368846,-4339179.6560876705,-856648.3442075673,16068.774385386716,0.0,-1959.5268774193555,-81.5899647483871
3480732.08060677,-4356339.061068399,-861513.043738612,16135.05356518448,0.0,-1959.5268774193555,-81.5899647483871
3493245.923414683,-4383286.459670954,-875881.6330465165,16200.020051922631,0.0,-1959.5268774193555,-81.5899647483871
3506029.745786813,-4402225.083679723,-881972.7548626249,16263.699872451958,0.0,-1959.5268774193555,-81.5899647483871
3532580.4591055866,-4401273.784689035,-854408.3238978343,16326.118527782124,0.0,-1959.5268774193555,-81.5899647483871
3542313.6962215407,-4420765.880044269,-864105.9996577965,16387.301007099926,0.0,-1959.526877419356,-81.58996474838713
3552875.756696492,-4439920.428524172,-872638.5168695867,16447.271800260714,0.0,-1959.526877419356,-81.58996474838713
3564088.066883732,-4450370.508435085,-871817.5034843051,16506.054909216222,0.0,-1959.526877419356,-81.58996474838713
3575825.3622325654,-4467313.098286224,-876965.1790371435,16563.67385868266,0.0,-1959.526877419356,-81.58996474838713
3588014.2746875775,-4484780.97323958,-882187.6636879217,16620.151706249108,0.0,-1959.526877419356,-81.58996474838713
3600574.471549523,-4506817.72076188,-891608.855002467,16675.511052057904,0.0,-1959.526877419356,-81.58996474838713
3613448.4614094896,-4520265.850814591,-892128.7321991249,16729.774048144605,0.0,-1959.526877419356,-81.58996474838713
3626602.247210769,-4551269.180838497,-909925.0880624005,16782.96240749567,0.0,-1959.526877419356,-81.58996474838713
3640010.162996474,-4568684.508613518,-913880.365046349,16835.097412863288,0.0,-1959.526877419356,-81.58996474838713
3666188.9758202494,-4560829.886680188,-879795.8277767422,16886.199925364075,0.0,-1959.526877419356,-81.58996474838713
3676392.5052108807,-4579177.935793754,-887890.2570321598,16936.290392880397,0.0,-1959.5268774193544,-81.58996474838708
3687398.5715418197,-4597673.633453898,-895330.7898959683,16985.388858277547,0.0,-1959.5268774193544,-81.58996474838708
3699086.079587336,-4613003.026777801,-898924.5490651862,17033.51496744664,0.0,-1959.5268774193544,-81.58996474838708
3711322.8222271157,-4629033.381067157,-902670.9877050278,17080.68797718062,0.0,-1959.5268774193544,-81.58996474838708
3723984.8146025734,-4644471.90665538,-905401.2821320844,17126.92676288938,0.0,-1959.5268774193544,-81.58996474838708
3736977.963525737,-4663009.112665716,-910900.0161559874,17172.249826158837,0.0,-1959.5268774193544,-81.58996474838708
3750242.5767140775,-4679751.308291905,-914333.1731178362,17216.675302158197,0.0,-1959.5268774193544,-81.58996474838708
3763719.664451726,-4690747.003869038,-911808.2352925806,17260.220966899153,0.0,-1959.5268774193544,-81.58996474838708
3777361.2677863273,-4706286.727179412,-913663.6719909016,17302.904244350408,0.0,-1959.5268774193544,-81.58996474838708
3803719.4614435174,-4698567.743487761,-879544.6566730014,17344.742213410726,0.0,-1959.5268774193544,-81.58996474838708
3814087.286517309,-4715381.135966256,-885949.2146763711,17385.751614743476,0.0,-1959.5268774193555,-81.5899647483871
3825195.190247958,-4731817.693328009,-891237.6710647431,17425.948857475618,0.0,-1959.5268774193555,-81.5899647483871
3836884.275833888,-4747417.353267244,-895108.8442497606,17465.350025763786,0.0,-1959.5268774193555,-81.5899647483871
3849036.1664711386,-4763790.168452759,-899291.1479385574,17503.97088523033,0.0,-1959.5268774193555,-81.5899647483871
3861547.691842455,-4776754.578977951,-899706.1770883915,17541.826889271695,0.0,-1959.5268774193555,-81.5899647483871
3874322.1859053927,-4791527.045463305,-901667.0432148381,17578.933185241953,0.0,-1959.5268774193555,-81.5899647483871
3887321.0241444535,-4803926.66948548,-901031.4575626804,17615.30462051375,0.0,-1959.5268774193555,-81.5899647483871
3900451.421706115,-4811861.530350838,-895800.2697384714,17650.955748419256,0.0,-1959.5268774193555,-81.5899647483871
3913664.4696981316,-4824261.056543494,-894951.8028534563,17685.900834073418,0.0,-1959.5268774193555,-81.5899647483871
3940922.063915466,-4814792.6882485505,-858191.5873151707,17720.153860081882,0.0,-1959.5268774193555,-81.5899647483871
3950634.351004061,-4829447.781988659,-863100.8192946294,17753.7285321359,0.0,-1959.526877419356,-81.58996474838713
3961055.2816398754,-4843197.667375568,-866396.8642933634,17786.638284496366,0.0,-1959.526877419356,-81.58996474838713
3972040.8412877847,-4855144.926042803,-867326.305311816,17818.896285369334,0.0,-1959.526877419356,-81.58996474838713
3983415.721945375,-4865388.310983937,-866163.1904385543,17850.51544217498,0.0,-1959.526877419356,-81.58996474838713
3995041.6333595365,-4874215.453369748,-863333.4284456671,17881.508406712277,0.0,-1959.526877419356,-81.58996474838713
4006850.491614761,-4883617.268406577,-860896.0060537629,17911.887580221395,0.0,-1959.526877419356,-81.58996474838713
4018806.992124918,-4893770.624930221,-859063.0845291242,17941.665118345772,0.0,-1959.526877419356,-81.58996474838713
