Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-344462.6773380206,201.01788131148473,0.0,-37.77053243506779,-1.5726737129339636
3229576.246178158,-3619168.7588631874,-389413.25717871374,218.59871246359958,0.0,-37.77053243506779,-1.5726737129339636
3218747.764490371,-3646258.6057236553,-427319.25719268917,230.92724674318336,0.0,-37.77053243506779,-1.5726737129339636
3211482.199131155,-3674964.254385618,-463281.5913195594,239.80714105203825,0.0,-37.77053243506779,-1.5726737129339636
3206944.278738542,-3704786.043744383,-497634.69092979544,246.41728219344753,0.0,-37.77053243506779,-1.5726737129339636
3204543.8408506536,-3733601.7978472067,-528845.7718935433,251.52830915789073,0.0,-37.77053243506779,-1.5726737129339636
3203863.3476038114,-3760285.259473598,-556205.6109813027,255.6440946321527,0.0,-37.77053243506779,-1.5726737129339636
3204609.2748431168,-3788349.8363480223,-583520.8105181728,259.0941928806313,0.0,-37.77053243506779,-1.5726737129339636
3206571.424589799,-3814915.432166111,-608121.2565347038,262.09424775676433,0.0,-37.77053243506779,-1.5726737129339636
3209878.6406273707,-3841790.480616864,-631686.397730626,264.7854650148523,0.0,-37.77053243506779,-1.5726737129339636
3213790.4354608003,-3869089.6561584533,-655059.9076391938,280.6234249144629,0.0,-39.65905905682118,-1.651307398580662
3218591.931039872,-3895249.4025468193,-676415.7230470901,283.05882631248505,0.0,-39.65905905682118,-1.651307398580662
3224197.733499447,-3918239.8180325194,-693798.0219693612,285.37293016657,0.0,-39.65905905682118,-1.651307398580662
3230538.023815827,-3941516.3430087785,-710732.0360978597,287.5934615471463,0.0,-39.65905905682118,-1.651307398580662
3237561.5590294134,-3966774.18127757,-728964.1937943974,289.7388202140404,0.0,-39.65905905682118,-1.651307398580662
3245231.4234785815,-3993422.152410331,-747940.2179912957,291.82130690902113,0.0,-39.65905905682118,-1.651307398580662
3253503.885439617,-4013934.0772116333,-760177.65290686,293.84923161173225,0.0,-39.65905905682118,-1.651307398580662
3262308.862646523,-4031832.1644300907,-769268.7838587846,295.82829123877286,0.0,-39.65905905682118,-1.651307398580662
3271597.194746895,-4057022.3862065496,-785168.7393561341,297.7624699754779,0.0,-39.65905905682118,-1.651307398580662
3281625.253938977,-4082386.1777050253,-800502.5795048225,299.6546276811839,0.0,-39.65905905682118,-1.651307398580662
3291757.0236986238,-4105692.726575978,-813675.506359338,301.50688447139754,0.0,-39.65905905682119,-1.651307398580662
3302326.7677593464,-4128143.393851001,-825554.615585995,303.3208721145368,0.0,-39.65905905682119,-1.651307398580662
3313299.557000897,-4148064.4481092435,-834501.1035764022,305.09789839980584,0.0,-39.65905905682119,-1.651307398580662
3324640.590117488,-4168242.3440944236,-843336.225288755,306.8390546361552,0.0,-39.65905905682119,-1.651307398580662
3336327.7439822378,-4188978.3939043996,-852383.4150026275,308.5452859896794,0.0,-39.65905905682119,-1.651307398580662
3348328.2767766,-4210316.104287667,-861718.9204399856,310.2174375367904,0.0,-39.65905905682119,-1.651307398580662
3360617.705096092,-4229783.310970646,-868895.0599565618,311.8562844475986,0.0,-39.65905905682119,-1.651307398580662
