Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-323076.6753814095,26791.260284422435,0.0,-5033.980852584513,-209.60280006331757
3229576.246178158,-3619168.7588631874,-365701.69811776467,29134.398219912557,0.0,-5033.980852584513,-209.60280006331757
3218747.764490371,-3646258.6057236553,-401976.9043295647,30777.520556367515,0.0,-5033.980852584513,-209.60280006331757
3211482.199131155,-3674964.254385618,-436764.62383685,31961.015070261292,0.0,-5033.980852584513,-209.60280006331757
3206944.278738542,-3704786.043744383,-470243.34722681093,32842.001431677825,0.0,-5033.980852584513,-209.60280006331757
3204543.8408506536,-3733601.7978472067,-500778.35178866505,33523.18886053605,0.0,-5033.980852584513,-209.60280006331757
3203863.3476038114,-3760285.259473598,-527593.7630239078,34071.73249852683,0.0,-5033.980852584513,-209.60280006331757
3204609.2748431168,-3788349.8363480223,-554452.5904801298,34531.554677423395,0.0,-5033.980852584513,-209.60280006331757
3206571.424589799,-3814915.432166111,-578656.1952512026,34931.3959777577,0.0,-5033.980852584513,-209.60280006331757
3243369.0592677835,-3795100.83604684,-521685.2844122859,35290.07601941848,0.0,-5033.980852584513,-209.60280006331757
3238563.9608043088,-3827150.034867226,-588586.0740629175,0.0,0.0,-0.0,-0.0
3236365.9999716086,-3857074.46014523,-620708.4601736213,0.0,0.0,-0.0,-0.0
3236292.2881607143,-3883125.3254119903,-646833.0372512762,0.0,0.0,-0.0,-0.0
3237996.0642993236,-3909078.329937021,-671082.2656376974,0.0,0.0,-0.0,-0.0
3241215.56369113,-3936770.2627927405,-695554.6991016108,0.0,0.0,-0.0,-0.0
3245750.6572343255,-3965622.860212462,-719872.2029781363,0.0,0.0,-0.0,-0.0
3251432.033941269,-3988155.5644107554,-736723.5304694868,0.0,0.0,-0.0,-0.0
3258091.0354285403,-4007966.8659403278,-749875.8305117876,0.0,0.0,-0.0,-0.0
3265600.405564609,-4034873.3496710435,-769272.9441064344,0.0,0.0,-0.0,-0.0
3273881.74559578,-4062153.5552180894,-788271.8096223093,0.0,0.0,-0.0,-0.0
3282864.8525546216,-4086939.332132459,-804074.4795778375,0.0,0.0,-0.0,-0.0
3292485.0948598217,-4110778.6876409655,-818293.5927811441,0.0,0.0,-0.0,-0.0
3302677.831132281,-4131968.587591801,-829290.7564595197,0.0,0.0,-0.0,-0.0
3313383.4630062208,-4153308.9406580087,-839925.4776517879,0.0,0.0,-0.0,-0.0
3324559.041005019,-4175166.930112493,-850607.8891074744,0.0,0.0,-0.0,-0.0
3336154.288684162,-4197525.4257007865,-861371.1370166249,0.0,0.0,-0.0,-0.0
3348129.8496043007,-4217947.573917697,-869817.7243133964,0.0,0.0,-0.0,-0.0
3360445.819391214,-4238355.593836957,-877909.7744457427,0.0,0.0,-0.0,-0.0
3373066.3594295154,-4259215.079701741,-886148.7202722261,0.0,0.0,-0.0,-0.0
3385958.2031001775,-4280377.52710567,-894419.3240054931,0.0,0.0,-0.0,-0.0
3399092.366465822,-4297212.953751188,-898120.587285366,0.0,0.0,-0.0,-0.0
3412449.4394109966,-4317976.189278939,-905526.7498679424,0.0,0.0,-0.0,-0.0
3425951.981801139,-4336867.071277946,-910915.0894768075,0.0,0.0,-0.0,-0.0
3439515.508416935,-4325095.955547837,-885580.4471309016,0.0,0.0,-0.0,-0.0
3453117.2325159325,-4341799.076501628,-888681.8439856961,0.0,0.0,-0.0,-0.0
