Ecosystem decay emission,Gross growth,Net emission,HWP,Carbon release immediately,Concrete_manufacturing,Concrete_landfill
0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
3245168.9335785117,-3589793.2855916955,-304893.39525922795,49399.40495369807,0.0,-9281.969419354831,-386.47878038709644
3229576.246178158,-3619168.7588631874,-345541.1313407843,53719.82954398693,0.0,-9281.969419354831,-386.47878038709644
3218747.764490371,-3646258.6057236553,-380429.76793631696,56749.52149670932,0.0,-9281.969419354831,-386.47878038709644
3211482.199131155,-3674964.254385618,-414218.78059288487,58931.72286132045,0.0,-9281.969419354831,-386.47878038709644
3206944.278738542,-3704786.043744383,-446954.0724720055,60556.14073357728,0.0,-9281.969419354831,-386.47878038709644
3204543.8408506536,-3733601.7978472067,-476914.2483854487,61812.156810846405,0.0,-9281.969419354831,-386.47878038709644
3203863.3476038114,-3760285.259473598,-503266.7641169545,62823.595952574135,0.0,-9281.969419354831,-386.47878038709644
3204609.2748431168,-3788349.8363480223,-529737.5647975688,63671.44490707856,0.0,-9281.969419354831,-386.47878038709644
3206571.424589799,-3814915.432166111,-553603.7584178878,64408.69735816657,0.0,-9281.969419354831,-386.47878038709644
3291110.692976215,-3748660.1327818767,-402147.8339048252,65070.054100578294,0.0,-9281.969419354831,-386.47878038709644
3276313.0699728024,-3778522.9013317544,-449000.5087995741,62394.34834913278,0.0,-8817.870948387092,-367.15484136774165
3265513.225249693,-3807089.5330868824,-487825.4934788127,62935.840148131654,0.0,-8817.870948387092,-367.15484136774165
3258009.3420970654,-3832178.1466250136,-519903.4678981965,63450.36241950602,0.0,-8817.870948387092,-367.15484136774165
3253266.2241899497,-3857353.2217039037,-549327.9436953327,63944.07960837611,0.0,-8817.870948387092,-367.15484136774165
3250871.2694140486,-3884525.6483897483,-578418.3220129652,64421.08275248932,0.0,-8817.870948387092,-367.15484136774165
3250505.422958253,-3913104.6446709414,-606900.1406801754,64884.106822267764,0.0,-8817.870948387092,-367.15484136774165
3251902.964499523,-3935585.6486309604,-627532.7104467333,65334.999474459364,0.0,-8817.870948387092,-367.15484136774165
3254816.4106028215,-3955416.04320402,-644009.6310185702,65775.02737238312,0.0,-8817.870948387092,-367.15484136774165
3259027.1863368223,-3982369.315632743,-666322.0787182582,66205.0763674171,0.0,-8817.870948387092,-367.15484136774165
3344922.0857045003,-3901757.0179782324,-499394.1757373378,66625.78232614919,0.0,-8817.870948387092,-367.15484136774165
3331353.791454591,-3928753.810898565,-539547.4285946182,67037.61663911097,0.0,-8817.870948387097,-367.1548413677419
3321993.3124196213,-3954948.280652341,-574699.051905665,67440.9421168096,0.0,-8817.870948387097,-367.1548413677419
3316127.9860140122,-3979356.840637897,-604577.8308780451,67836.04953559488,0.0,-8817.870948387097,-367.1548413677419
3313199.99294188,-4003162.6556429225,-630924.5069516138,68223.18153918356,0.0,-8817.870948387097,-367.1548413677419
3312767.0010220995,-4027764.489618015,-655579.9661080599,68602.54827761053,0.0,-8817.870948387097,-367.1548413677419
3314461.7908014585,-4053030.3645287557,-678779.2618702722,68974.33764677947,0.0,-8817.870948387097,-367.1548413677419
3317997.6069726404,-4076554.0314893145,-698402.7283069355,69338.72199949357,0.0,-8817.870948387097,-367.1548413677419
3323135.445794503,-4100177.9346285574,-716531.6520733515,69695.8625504573,0.0,-8817.870948387097,-367.1548413677419
3329608.0758103738,-4123995.6883004354,-733526.7260057513,70045.91227406531,0.0,-8817.870948387097,-367.1548413677419
3415667.2139985617,-4037270.2341325087,-560399.0281067488,70389.01781695343,0.0,-8817.870948387097,-367.1548413677419
