period,oha,ohv,ogs
1,1334.4635907951802,107287.00000000003,17892589.77259817
2,1345.0154788981172,112651.35000000003,21756995.827550963
3,1398.0063291139243,112651.35000000002,25954228.432285883
4,1401.1867703349394,112651.35000000002,30350100.516881168
5,1294.2480468750002,112651.35000000003,34686657.33651524
6,1276.7919075144514,112651.35000000003,38820226.22003763
7,1401.1867703349392,112651.35000000002,42669998.898137815
8,1401.1867703349392,112651.35,46180894.47311891
9,1267.7404112554202,112651.34999999998,49330025.050675265
10,1401.186770334939,112651.35,52185340.540674284
