period,oha,ohv,ogs,ocp,ocf
1,3475.8908005741023,536430.0,17387715.65495111,52689228.24140328,0.0
2,3302.0962605453974,509608.50000000035,20786125.170242626,53890322.391714334,0.0
3,3302.096260545395,509608.5000000002,24507705.445205815,55644225.981010176,0.0
4,3302.096260545396,509608.5000000002,28434096.123313658,57726743.12985515,0.0
5,3302.0962605453956,509608.5000000003,32321780.469600666,59812712.983417414,0.0
6,3302.0962605453965,509608.5000000001,36020830.113284975,61985011.00528103,0.0
7,3302.096260545396,509608.5000000002,39446747.294145025,64200690.186709344,0.0
8,3302.096260545395,509608.5000000002,42549580.22164347,66421306.584748425,0.0
9,3649.6853406028054,509608.5000000002,45314001.02370938,68621975.29433483,0.0
10,3649.6853406028067,509608.5,47841290.31682522,70586605.38119324,0.0
