period,oha,ohv,ogs,ocp,ocf
1,1235.176644289479,214571.99999999994,17766372.12553935,52796593.37310106,-328942.7399377545
2,1296.9354765039525,203843.39999999997,21543090.098478884,54132697.77490094,-632115.8962774414
3,1296.9354765039532,203843.3999999999,25657273.492000178,56047559.46170954,-788049.3756839436
4,1296.935476503953,203843.4,29973298.153088983,58320052.97312585,-868452.5504536303
5,1173.417812075005,203843.39999999997,34245275.894856684,60644258.77466655,-891904.4091931419
6,1192.619215951294,203843.39999999997,38324593.17607193,63053736.21537809,-918979.6137598656
7,1173.4178120750048,203843.40000000002,42126628.42215871,65449350.43668102,-920522.3242045183
8,1173.4178120750053,203843.40000000002,45606966.95811968,67810845.4496424,-894527.8135333165
9,1173.4178120750048,203843.39999999997,48730163.94607582,70042675.46860814,-848938.1712828818
10,1173.4178120750048,203843.3999999999,51575049.23069149,72047565.97162938,-760981.9651388467
