Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52930273.55567438,56636.195396165276
14439629.099533154,38540260.76420462,53088787.87868124,108898.01494346408
14640881.53763132,38455602.19189735,53254638.62494385,158154.89541518252
14842543.100859858,38380344.8255564,53428192.49280431,205304.56638805443
15044923.758035498,38313739.19520053,53609599.427234985,250936.47399895405
15247816.019716727,38255135.46724563,53798390.05444459,295438.5674822359
15450688.018913468,38204014.89855883,53993769.994901925,339067.0774296249
15653960.276384931,38159944.61240689,54195897.00063396,381992.1118421369
15857272.128023852,38122544.762834236,54404144.34172508,424327.4508669995
14358153.891337398,38951918.564478844,53776222.472333044,466150.01651680504
14559389.632455727,38799411.93505857,53840938.53345643,482136.96594212845
14761454.300309194,38666828.630253375,53949312.477771156,521029.54720859136
14963674.45373183,38551848.760058254,54075068.72421941,559545.5104293243
15165888.768309066,38452596.2991432,54216188.68088599,597703.6134337294
15368713.810194053,38367447.64739532,54371679.784149475,635518.3265600989
15572528.84488748,38295041.89593351,54540572.01557164,673001.2747506463
15775710.753606953,38234218.59099811,54720091.52532769,710162.1807226262
15977673.419386236,38183910.6568694,54908593.55836783,747009.4821121979
16180466.50353223,38143004.91621543,55107022.15531429,783550.7355666227
14767869.15478637,38931020.92528618,54518682.9616789,819792.8816063511
14968765.637699094,38783315.823817424,54607823.880010806,855742.4184942921
15170440.417612087,38656155.22040487,54718001.15464906,891405.516632101
15372806.038081873,38547174.739773184,54846768.87193475,926788.0940796897
15575560.778248522,38454433.43190209,54991890.07680699,961895.86665638
15778547.925624873,38376338.32938337,55151620.63642634,996734.3814180848
15982012.714499135,38311413.76991553,55324735.523671955,1031309.0392572925
16185482.473907853,38258493.79583467,55509601.380123764,1065625.110381247
16388982.492672876,38216569.297920935,55705239.53571628,1099687.745122476
16592687.756123476,38184372.103222184,55910561.841031216,1133501.9816855548
15178976.779419359,38994518.491005756,55340568.02230352,1167072.7518783999
15377432.290873516,38855797.752729155,55433634.929116026,1200404.8855133501
15576626.544417484,38737024.20234859,55547153.86069213,1233503.1139260514
15776641.581863448,38635686.56321702,55678700.21798563,1266372.072905162
15969061.204022244,38549704.240046896,55817781.74929372,1299016.3052245833
16161632.426283691,38477450.42411517,55970523.113302596,1331440.262903734
16354486.679218154,38417673.10119567,56135808.08969196,1363648.3092781312
16547666.471480044,38369272.8773102,56312584.0697245,1395644.7209342534
16743512.256278258,38331333.21141236,56502279.15723484,1427433.6895442137
16939853.8043087,38303069.01531934,56701942.143251695,1459019.3236236547
15517772.021994013,39115473.696739554,56123651.368961975,1490405.6502284107
15709261.088321345,38984049.67809227,56375075.44791923,1681764.6815056033
15901517.581125822,38872779.074447006,56490323.914896555,1716027.259323723
16092502.58688688,38778821.448710434,56621406.416145705,1750082.3805483903
16283880.909415849,38700226.6801776,56768041.743321665,1783934.1537282243
16475668.18129506,38635584.19971506,56928838.98704306,1817586.606032936
16669153.281026673,38583513.12250631,57103710.08840225,1851043.6848692626
16863121.34777721,38542696.2542738,57290126.86151442,1884309.2594634094
17061180.292161565,38512018.65536016,57490586.069932915,1917387.1224111815
17259658.768728074,38490658.75452311,57700598.514447965,1950280.991196784
15744169.79718285,39366216.96610021,57093381.27296419,1982994.5096811298
15935247.766041663,39240618.96110879,57191397.976710856,2015531.249560398
16127150.919081302,39134636.03675,57309681.66762684,2047894.7117955412
16319254.709082603,39045817.28786004,57445160.32495599,2080088.3280133463
16511655.665014632,38972185.48345797,57595956.61035229,2112115.4618796916
16704259.699306918,38912136.47357572,57760375.58332819,2143979.4104455523
16897889.509660427,38864317.50206413,57937890.417190865,2175683.4054663135
17092112.62541773,38827517.78237663,58126861.0224893,2207230.6146949395
17285396.6758995,38800678.59090584,58324699.40995485,2238624.143149517
17478452.72116138,38782885.87130903,58531205.62682609,2269867.0343556833
15951816.338619934,39664839.657845475,57917618.26802986,2300962.271564451
16136737.121640224,39542527.9785084,58011177.87909453,2331912.778945907
16322324.88860548,39439606.979872406,58124653.29123714,2362721.4227592517
16508556.126682162,39353724.237466164,58255671.37664803,2393391.012499708
16695589.42091072,39282947.38856863,58402461.11150203,2423924.302022671
16882639.114389997,39225685.34524592,58562648.45028153,2454323.9906456145
17070232.07055306,39180510.72330993,58735335.51809117,2484592.724228177
17257951.473575894,39146237.524725616,58918922.094532356,2514733.096230846
17444541.84552445,39121769.99799782,59111059.49227495,2544747.648752685
17631020.81255898,39106201.20752318,59311860.89363067,2574638.8735485068
16033415.841802044,40044648.23146397,58682473.28629191,2604409.2130259
16209110.870353721,39912520.10570299,58755692.03727922,2634061.0612225104
16385456.993309148,39800931.89805118,58849985.6561243,2663596.764763974
16562749.008542096,39707439.98678055,58963207.619125515,2693018.6238028686
16737866.101712517,39629882.35537161,59090077.35002321,2722328.89293908
16912658.173038185,39566417.08114503,59230605.03630515,2751529.782121934
17087556.464409232,39515697.047059655,59383876.96900336,2780623.4575344683
17262789.752523847,39476512.784333535,59548914.57931757,2809612.042460185
17438286.080274854,39447761.877717204,59724545.576124705,2838497.6181326457
17613954.241981808,39428347.89266485,59909584.35921489,2867282.224568235
15989723.422576647,40368219.42859178,59253910.71255086,2895967.861382436
16157485.182572985,40235066.89547194,59317108.56663485,2924556.4885899243
16321975.477951508,40122143.0602822,59397168.565622576,2953050.027388872
16487136.554556891,40026872.44032111,59495459.35580762,2981450.360929622
16652445.59017711,39947135.7638867,59609340.68913203,3009759.335068228
16816107.00007312,39881221.5340085,59735307.29318666,3037978.7591050346
16979905.52396919,39827599.70480545,59873615.63528327,3066110.4065086297
17144077.72680255,39785017.87133801,60023251.61376602,3094156.015625465
17307252.953022674,39752402.995571494,60181773.238969594,3122117.290375424
17472587.31507979,39728819.75926187,60351402.97527526,3149995.900933609
15852506.89983022,40653114.79328194,59683415.1775108,3177793.484398634
16004922.524518063,40517097.73738642,59727531.90735217,3205511.645447685
16158110.496167727,40401029.50794243,59792291.96108872,3233151.9569785628
16311860.669505684,40302473.187877044,59875049.818121836,3260715.9607391055
16465927.58116625,40219160.638574086,59973293.38768438,3288205.167944054
16613834.092218444,40149186.3531647,60078641.50526288,3315621.059879739
16762074.35080764,40091193.6774676,60196233.11677203,3342965.088496795
16908907.604897313,40043866.74353366,60323013.0254221,3370238.676991126
17053209.044910874,40006053.68745928,60456705.95274353,3397443.220373376
17199692.566810068,39976939.430654936,60601212.08349211,3424580.086027108
15575574.877628881,40869615.415925846,59896840.90781067,3451650.6142559443
