Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52893378.00727822,19740.647000000004
14439629.099533154,38540260.76420462,53017846.46122747,37956.597489689484
14640881.53763132,38455602.19189735,53151608.90062949,55125.17110081917
14842543.100859858,38380344.8255564,53294447.199496046,71559.273079792
15044923.758035498,38313739.19520053,53446127.3091658,87464.35592976701
15247816.019716727,38255135.46724563,53605927.12701122,102975.64004886145
15450688.018913468,38204014.89855883,53772885.352539495,118182.43506718834
15653960.276384931,38159944.61240689,53947048.92122396,133144.0324321417
15857272.128023852,38122544.762834236,54127716.981275216,147900.09041713344
15283771.009825666,38503764.89757939,53950013.327732004,162477.42032695716
15485510.51619714,38411512.320071705,54082761.97846871,185739.14219986522
15687592.527564697,38332435.00847284,54220749.71250497,200722.1764674315
15889454.998888379,38265270.834276736,54370285.95501938,215560.12185426004
16091009.97108025,38208971.42953834,54530241.60527227,230260.2046536839
16292839.433207627,38162660.41109137,54700327.843738765,244827.99943975906
16495366.641152823,38125607.19210601,54880241.81788087,259267.98462204015
16697062.80864887,38097158.905245654,55067805.61968871,273583.9057941866
16897272.025997847,38076678.33183171,55261729.371312924,287779.01348335814
17098065.78327552,38063326.111815624,55463248.11391442,301856.2188232768
16404674.010249205,38513972.86455444,55234465.070393726,315818.19559008087
16604391.123567773,38445421.49892368,55379480.06967543,329667.4471839737
16804244.44674452,38389460.14411878,55537110.94156271,343406.3506994145
17004235.538724616,38344682.21119375,55705954.93593673,357037.18601836456
17203948.280461714,38309982.99443143,55884493.43000447,370562.15511132794
17403377.836026467,38284508.61442026,56071869.84538087,383983.3949341485
17602810.0883906,38267405.67356364,56267518.748088695,397302.98613446136
17801892.795304086,38257989.85341983,56470405.60773844,410522.9590145286
18000577.42788305,38255657.55430388,56679880.279882826,423645.29769590386
18199072.66904997,38259687.5620657,56895432.174219474,436671.9431038052
17427095.667534925,38762772.762209445,56639473.224919416,449604.79517504893
17622064.760591052,38709152.179379,56793662.65452358,462445.7145535269
17817201.696538508,38667486.80950066,56959885.029984996,475196.5239458276
18012586.109997664,38636267.39924753,57136712.518495075,487859.00924988
18199885.459051616,38614241.20357942,57314561.58316151,500434.92053047277
18386793.38047071,38600461.095411934,57500180.448772654,512925.97289000737
18573503.679264355,38594236.71556256,57693074.242093086,525333.8472661695
18759802.388389397,38594930.37895394,57892392.958520666,537660.1911773214
18948303.761976663,38602016.27082646,58100226.652232416,549906.6194292908
19136918.635010317,38614961.53156345,58313954.881366365,562074.7147925871
18339317.779883802,39126278.22496801,58039762.03350784,574166.0286560255
18524836.16880953,39080257.67444957,58191275.92491985,586182.0816607568
18710457.55152293,39046128.79644257,58354710.712282896,598124.3643173937
18894721.45721405,39022545.9144644,58527261.709286526,609994.3376080765
19079018.539493576,39008418.43859637,58709230.4116647,621793.4335747595
19263059.70641404,39002967.71895451,58899550.48126318,633523.0558946342
19448161.90418807,39005358.54237566,59098705.0270071,645184.5804433652
19632187.594704825,39014746.35403421,59303713.30458568,656779.3558466523
19819741.205846276,39030426.65962023,59518476.56948704,668308.7040205332
20007123.700430013,39051921.503897086,59738819.125027865,679773.9207007635
19375005.763646275,39500061.53053832,59566243.570146166,691176.2759615686
19560906.255929295,39463468.97423927,59726892.24489259,702517.0147240276
19746991.376991984,39438882.48638946,59899671.220635764,713797.3572543287
19932885.292543348,39425040.82334968,60082944.61554514,725018.499652114
20118541.092038464,39420841.70415565,60275564.41052324,736181.6143291298
20303650.257851105,39425361.34459915,60476299.45292863,747287.8504783787
20489065.227492884,39437852.73826995,60685256.3002968,758338.3345339687
20674367.71433754,39457669.40642057,60901371.29137996,769334.1706218501
20858048.3604447,39484242.65523688,61122567.45668319,780276.441001619
21041464.185228992,39517090.70392218,61349721.09565074,791166.2064995696
20247893.514525898,40063119.45664512,61113017.47810419,802004.5069331665
20426277.19113508,40038576.68342779,61277646.23608998,812792.3615271117
20604466.972928517,40025822.10739448,61453819.84964416,823530.7693211696
20782438.942353487,40023009.478620924,61639669.13054433,834220.7095699131
20960395.032787085,40028996.72034437,61834254.89526601,844863.1421345556
21137442.307696335,40042908.81221223,62035810.12777559,855459.0078670211
21314189.903844777,40063920.84019955,62244119.97303074,866009.2289864091
21490366.097063344,40091392.12701867,62458272.93353001,876514.7094480018
21664620.29097782,40124691.52312266,62676288.14940545,886976.3353049657
21838325.320067886,40163274.76511024,62898995.060241014,897394.9750628882
20952792.441046163,40741044.95774688,62601608.87882034,907771.4800272941
21121449.07090055,40718526.23814002,62758081.99368485,918106.6846442786
21289643.963365704,40707205.50154076,62925250.871740855,928401.4068343951
21457236.415574756,40705782.44061067,63101675.304505356,938656.4483199308
21623511.818463504,40713055.97094982,63285440.384359024,948872.5949456999
21788573.663419906,40727957.01151615,63475581.29192954,959050.6169934851
21952569.93495566,40749760.540763095,63671521.74520901,969191.2694902504
22115633.655452978,40777799.70321005,63872728.65117327,979295.2925102508
22277838.064206917,40811432.191010594,64078633.666688666,989363.4114711588
22439042.868332356,40850116.450418085,64288555.65617477,999396.3374243274
21660025.67876206,41402516.82322565,64071937.269327015,1009394.7673393011
21815818.1285857,41376903.40150099,64212080.91446938,1019359.3843826982
21967159.10024861,41362693.778593756,64359143.737033926,1029290.8581915641
22117680.768675834,41358435.74804317,64515306.36186032,1039189.8451413153
22267299.604889542,41362963.58249252,64679320.17599044,1049056.9886083743
22414081.57460738,41375387.88672373,64848362.380558714,1058892.919227606
22559875.23561419,41394849.02358397,65023422.514342815,1068698.2551446517
22704845.9367748,41420671.70957827,65203991.24861634,1078473.6022632704
22847838.52196041,41452271.30222613,65388329.37867432,1088219.5544877786
22992030.021238636,41488984.71698039,65578951.43217972,1097936.69396069
22125543.15255922,42043902.043110386,65277070.78696526,1107625.5912956486
22264967.76215606,42018526.287200496,65400780.85516231,1117286.805805748
22404030.656067144,42004031.67849555,65534983.22029003,1126920.8857273317
22542545.993202027,41999136.6118329,65678210.97347428,1136528.3684393573
22680229.532386776,42002514.43397395,65828853.74703915,1146109.7806784196
22810268.60781706,42013056.19214557,65978990.43871214,1155665.6387495133
22939488.9456098,42030096.26936799,66134781.66371041,1165196.4487326243
23066624.098329525,42052945.9381696,66294272.74318435,1174702.7066852255
23189987.22014723,42080975.92720583,66455148.04619382,1184184.898840766
23314313.0741568,42113746.53698367,66621703.112943694,1193643.5018032282
22496723.81286352,42656100.22329393,66355903.01889528,1203078.9827378313
