Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52881040.09427822,7402.734000000001
14439629.099533154,38540260.76420462,52994123.571212575,14233.707474797502
14640881.53763132,38455602.19189735,53117155.64460643,20671.91507775056
14842543.100859858,38380344.8255564,53249722.6225558,26834.69613954704
15044923.758035498,38313739.19520053,53391462.048495136,32799.095259106136
15247816.019716727,38255135.46724563,53541567.306989,38615.82002664189
15450688.018913468,38204014.89855883,53699021.27898673,44318.36151442591
15653960.276384931,38159944.61240689,53863833.84278115,49928.953989325586
15857272.128023852,38122544.762834236,54035279.36014463,55462.46928654304
15876090.651245413,38176254.090436734,54113273.70331581,60928.961633661595
16080943.965209324,38138982.73096977,54282945.260287635,63018.56410853285
16285969.153481796,38108978.16051701,54463049.40166811,68102.08766930687
16490361.586452242,38085674.47994426,54649172.4510994,73136.38470289919
16694253.819839057,38068604.25768534,54840981.98450895,78123.90698454836
16898232.76979927,38057373.28601298,55038672.60169764,83066.54588539116
17102726.423819315,38051638.90673527,55242331.151418634,87965.82086404187
17306114.014216438,38051073.09767011,55450010.11463199,92823.00274543998
17507810.251872387,38055307.97687129,55660757.42312941,97639.19438572977
17709880.31854652,38064056.598211154,55876352.30024753,102415.38348984468
17735526.220505312,38160514.51169744,56003193.209433526,107152.47723077468
17938349.500498224,38165941.44594893,56216142.2714226,111851.32497545627
18140979.466898162,38176643.176115245,56434135.37625054,116512.73323714135
18342743.866290476,38192185.99897966,56656067.34081644,121137.47554630839
18543759.523996107,38212209.98153952,56881695.804534845,125726.29899922221
18744161.288945932,38236474.88292056,57110916.10050012,130279.92863362798
18944225.501511265,38264639.257212825,57343663.829106815,134799.0703827222
19143487.854353137,38296464.06694461,57579236.334396,139284.41309825564
19341997.553692076,38331723.840869024,57817458.024524644,143736.62996354228
19539962.596236937,38370213.947234504,58058332.922977455,148156.3795060141
19560643.340629045,38499426.72902959,58212614.37600498,152544.3063463397
19756789.254232895,38531945.02006591,58445635.31607248,156901.0417736755
19952619.418241534,38568462.30886328,58682308.93131043,161227.20420560782
20147832.431123305,38608489.92381551,58921845.754509896,165523.39957108503
20334296.951817844,38651607.37888697,59155694.55234621,169790.22164139737
20519884.030016903,38697552.93083686,59391465.21317937,174028.25232561005
20704796.298246585,38746213.56882104,59629247.92900883,178238.06194120203
20888760.897322267,38797454.12235169,59868635.22914092,182420.20946696628
21074457.816831835,38851174.589592315,60112207.649206966,186575.24278281326
21259688.68956133,38907295.0063834,60357687.394844264,190703.69889954006
21264578.23675736,39049193.77136859,60508578.11230655,194806.1041805958
21448668.94067868,39097611.953480676,60745163.86871655,198882.97455719835
21632260.734344345,39149529.81931597,60984725.36939803,202934.81573771633
21813012.95222834,39204581.92763594,61224557.00327622,206962.12341194117
21992788.73876793,39262503.951603636,61466258.07382225,210965.3834506843
22171720.588220254,39323216.151532665,61709881.81185393,214945.0721010093
22351145.68763636,39386486.40035155,61956533.744165234,218901.6561773299
22528741.301393043,39452139.946627535,62203716.84126912,222835.59324854685
22709295.8683245,39520050.75014904,62456093.95029491,226747.3318213647
22889088.184407346,39590135.46145077,62709860.95737802,230637.31151990258
22886583.97799384,39740435.32302994,62861525.26428548,234505.96326169913
23064077.73734094,39802194.01979669,63104625.46656783,238353.7094302
23241090.444336936,39867266.65993308,63350538.06831383,242180.96404380773
23416360.548026517,39935741.16761795,63598089.84856603,245988.1329215712
23590317.628783483,40007176.224503286,63847269.46713236,249775.6138455837
23763065.682933364,40081147.26749355,64097756.747147076,253543.79672015953
23935520.93249748,40157419.45455169,64350233.450777024,257293.06372785452
24107238.850884095,40235833.08283184,64604095.723198324,261023.78948239383
24276720.376566615,40316228.66146699,64857685.37921217,264736.34117856977
24445255.875513572,40398471.19282192,65112158.147074655,268431.07873916987
24432852.73310566,40560196.98153429,65265158.06959894,272108.35495899443
24599671.74990853,40633843.07787747,65509283.34343202,275768.5156460215
24765744.45326096,40710561.14455454,65755717.497575276,279411.89975977625
