Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52898313.14027822,24675.77999999999
14439629.099533154,38540260.76420462,53027140.08163661,47250.2178988284
14640881.53763132,38455602.19189735,53164807.56327062,68323.83374194983
14842543.100859858,38380344.8255564,53311179.479582794,88291.55316653725
15044923.758035498,38313739.19520053,53466076.86412548,107413.91088945429
15247816.019716727,38255135.46724563,53628815.0649014,125863.5779390414
15450688.018913468,38204014.89855883,53798458.68222206,143755.76474975972
15653960.276384931,38159944.61240689,53975072.977092355,161168.08830053025
15857272.128023852,38122544.762834236,54157970.44562017,178153.55476209038
15355909.408945108,38435572.41191713,53986230.864479855,194749.04361761987
15561393.18787222,38358513.23208709,54120338.22965292,200431.80969360174
15767364.941190744,38293316.049310535,54276205.89462998,215524.90412869936
15973027.381205007,38238733.37707077,54442065.64548908,230304.88721330295
16178395.22684204,38193771.90428778,54616950.01394197,244782.88281215215
16384061.234196058,38157604.58682051,54800633.90934512,258968.08832854684
16590405.753366796,38129547.02533122,54992821.18286514,272868.40416712366
16795801.90868814,38108984.50230653,55191277.2567926,286490.8457979362
16999669.894761503,38095310.5751303,55394822.283643305,299841.81375150493
17204054.92978119,38087911.72190768,55604893.9224564,312927.27076752624
16701374.433069928,38441620.21089449,55468747.502225354,325752.85826093453
16905763.096435186,38390701.4569334,55634788.52649081,338323.9731222145
17110332.30285276,38350897.82135385,55811875.94279184,350645.8185852324
17314832.618528616,38321054.842930384,55998610.89959555,362723.43813654507
17518872.91951637,38300219.33874144,56193653.99658808,374561.73833027575
17722605.529422656,38287635.91823918,56396406.952002406,386165.50434056995
17926260.02324769,38282543.42506012,56606342.85906364,397539.4107558281
18129374.75819763,38284356.54139333,56822419.328842245,408688.02925127646
18332014.200510237,38292557.75004205,57044187.78476179,419615.8342094962
18534335.098404106,38306485.812770456,57271148.11816264,430327.2069880722
18031777.309830494,38685001.43069311,57157605.179815054,440826.439291449
18231679.30953613,38653753.13542932,57336550.180911355,451117.7359459007
18431687.95361209,38632778.05915908,57525671.23004433,461205.2172731599
18631781.107015975,38620834.70472595,57723708.73293263,471092.92119069747
18823609.748767868,38616884.67075231,57921279.224642694,480784.80512251554
19014947.714241628,38620162.70988988,58125395.17190697,490284.74777545757
19205961.177811414,38630134.76005715,58335692.48868576,499596.55081719486
19396373.945596565,38646305.86858893,58551403.75466521,508723.94047972024
19588852.826980367,38668271.82942648,58774795.22551098,517670.5691041242
19781172.625562508,38695453.45323201,59003066.09543168,526440.0166371613
19268938.00033016,39087428.89949381,58891402.69191065,535035.7920866654
19459344.844411634,39068683.03214189,59071489.21149414,543461.3349406216
19649704.339711398,39059709.42758384,59261133.78384846,551720.0165532173
19837912.631293047,39059359.730941966,59457087.503735244,559815.1415002338
