Biomass,DOM,Total Ecosystem,HWP
14037449.34133071,38742199.559307545,52779648.90063826,0.0
14238296.581319261,38635340.77895896,52876104.93827822,2467.5780000000004
14439629.099533154,38540260.76420462,52984634.43289604,4744.569158265834
14640881.53763132,38455602.19189735,53103374.36788792,6890.638359250187
14842543.100859858,38380344.8255564,53231832.825129434,8944.898713182347
15044923.758035498,38313739.19520053,53369595.98498906,10933.03175303538
15247816.019716727,38255135.46724563,53515823.426971234,12871.94000888063
15450688.018913468,38204014.89855883,53669475.70464378,14772.787171475306
15653960.276384931,38159944.61240689,53830547.87345493,16642.98466310853
15857272.128023852,38122544.762834236,53998304.38062026,18487.489762181012
16004374.873545209,38118618.19940238,54143302.72682547,20309.653877887198
16208237.50697532,38090052.68949751,54319296.38450901,21006.188036177613
16412155.728128983,38067606.90030272,54502463.32432147,22700.69588976896
16615340.732933467,38050928.384323105,54690647.91215754,24378.79490096639
16817948.763571054,38039699.4080814,54883689.473980635,26041.30232818279
17020580.57757626,38033639.153705925,55081908.57991064,27688.848628463726
17223653.650226627,38032504.93970718,55285480.53022183,29321.940288013957
17425560.11797398,38036045.11214141,55492546.23103053,30941.000915146662
17625728.252547894,38043955.426038995,55702230.07671547,32546.39812857659
17826234.464787025,38056002.73968903,55916375.66563934,34138.46116328156
17972166.872328714,38096324.73429826,56104209.09903723,35717.49241025822
18173217.602426,38112743.018188626,56323244.39560644,37283.77499181877
18373966.27425663,38133232.51766119,56546036.36966354,38837.5777457138
18573783.740928326,38157541.96252511,56771704.86196887,40379.158515436146
18772791.768258244,38185448.78537714,57000149.319968455,41908.76633307409
18971124.19099158,38216826.43510731,57231377.26897677,43426.64287787602
19169063.99011333,38251432.16836937,57465429.1819436,44933.02346090743
19366146.275357015,38289105.78791042,57701680.20096685,46428.13769941856
19562431.17211865,38329688.58711674,57940031.96922324,47912.209987847455
19758129.050912887,38373035.74505374,58180550.25580196,49385.45983533806
19898458.65194213,38445729.12267394,58395035.87673152,50848.10211544659
20092056.501600865,38490786.342795044,58635143.1916538,52300.34725789185
20285230.052388318,38538599.43817951,58877571.891969696,53742.40140186928
20477733.24964833,38588828.798132196,59121736.51430421,55174.466523695024
20661436.305957317,38641186.36118626,59359219.40769071,56596.74054713246
20844227.295890648,38695518.6910946,59597755.40442711,58009.41744187002
21026295.9074451,38751834.03846325,59837542.63322209,59412.68731373401
21207370.661861107,38810077.10861395,60078254.50696405,60806.736488988754
21390134.31767319,38870216.85764334,60322542.92291081,62191.74759427109
21572500.638463143,38932236.12675597,60568304.66485229,63567.89963318004
21699402.236119475,39022539.224399716,60786876.828579396,64935.368060198605
21880162.695172425,39084796.80110117,61031253.82112599,66294.32485239944
22060279.308760986,39149126.10304207,61277050.3503823,67644.93857923875
22237672.80142352,39215359.57319154,61522019.7490857,68987.37447064703
22414116.611000746,39283384.863769114,61767823.269253425,70321.7944835614
22589581.075878035,39353246.0678633,62014475.50110834,71648.35736700307
22765431.969568696,39424823.04279013,62263222.2310846,72967.21872577658
22939349.042358547,39498055.027176134,62511682.60061753,74278.5310828489
23116131.414902847,39572915.24674655,62764629.10558985,75582.44394045485
23292068.427215304,39649384.19729881,63018331.72835409,76879.10383996746
23411125.633679695,39753999.731017515,63243294.01911779,78168.65442056632
23584242.43332005,39830101.63164696,63498767.76671752,84423.701750519
23756645.830435257,39907996.850910105,63750421.97769853,85779.29635315781
23927231.82652976,39987928.01923471,64002287.62245225,87127.77668777702
24096408.188060958,40069593.669269085,64254471.14097687,88469.2836468212
24264201.404351335,40152763.37765106,64506768.737334855,89803.95533246479
24431544.72139163,40237376.311374694,64760052.9598782,91131.92711187355
24597989.180236045,40323373.271340154,65013815.78324757,92453.33167137104
24762058.172395315,40410671.57459361,65266498.04605845,93768.29906953155
24925058.812249858,40499208.58863662,65519344.3576757,95076.95678922141
25028641.586058624,40616466.41909135,65741487.43493859,96379.42978860915
25188478.761579998,40703847.62385931,65984249.22398798,91922.83854867372
25347308.34595648,40792685.24491516,66233130.89079156,93137.29991992528
25505103.105660982,40882855.71920932,66482305.104719296,94346.27984898609
25662102.441769846,40974279.48680263,66731931.81546394,95549.88689146214
25817361.36543091,41066922.60719314,66981032.200077154,96748.22745310188
25971559.683249388,41160673.56917148,67230174.65825324,97941.40583237231
26123731.71043332,41255850.84418131,67478712.07887681,99129.52426219225
26273211.68092977,41351967.57051869,67725491.93439929,100312.68295083877
26421350.359282207,41448957.28226287,67971798.62166712,101490.98012204363
26512330.602424365,41573157.900231734,68188153.0147104,102664.51205429566
26657128.703244675,41668366.0881169,68429328.16448094,103833.37311936473
26800638.95403383,41764681.208532564,68670317.81838645,104997.65582006276
26942024.86299187,41862673.46704353,68910855.78086264,106157.45082725713
27081281.81769814,41961849.380728364,69150444.04544266,107312.84701615063
27218564.078144707,42061697.61318909,69388725.62283565,108463.93150184333
27353993.52471935,42162229.039420664,69625833.3538142,109610.78967419006
27487459.768338088,42263780.585263744,69861993.85883379,110753.50523196734
27619297.916773442,42365876.86131126,70097066.93830106,111892.16021636405
27749404.18704903,42468466.31421614,70330897.33630897,113026.83504380846
27817233.335246254,42599980.4607513,70531371.40453571,114157.60853814539
27944511.678046115,42699844.317432165,70759640.55344045,115284.55796217613
28066476.065815352,42800362.8292061,70983246.65407002,116407.75904857356
28186938.066881984,42901379.2838106,71205844.63672277,117527.28603018516
28305807.82294693,43002792.57057204,71427243.60518871,118643.21166973587
28420697.46400636,43104596.920442216,71645049.99173751,119755.60728894276
28533607.103767764,43206631.463977024,71861103.11054185,120864.54279705288
28644600.846827712,43308871.26428481,72075442.19783133,121970.08671881634
28752656.041580454,43411252.5809854,72286980.92878775,123072.30622190487
28860966.70156189,43513784.55734107,72498922.52604675,124171.26714378799
28906680.434070773,43644980.11730256,72676927.5853914,125267.03401807642
29010773.96190371,43744183.107067905,72881316.73907197,126359.670100344
29113351.084913958,43843802.43384464,73084602.75615205,127449.23739343825
29213812.982802212,43944136.17071646,73286484.95019095,128535.79667228949
29312583.101388887,44044751.308775544,73486953.81767265,129619.40750822896
29402637.332390707,44145251.31964978,73678588.78033331,130700.12829282497
29490730.152149737,44245675.151638016,73868183.320049,131778.01626124725
29576892.171685826,44346396.29787186,74056141.59707285,132853.12751516845
29658732.79881649,44446997.345837265,74239655.66169897,133925.51704521227
29740494.926062033,44547500.37526558,74422990.54008058,134995.2387529567
29762693.393068414,44675533.143036984,74574288.8815779,136062.34547250197
